,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,-0.0,0.02,1.07,1.07,-1.21,4.49,-0.94,1.0
1,-0.01,-0.01,1.12,1.12,5.34,1.8,-0.41,1.0
2,-0.03,-0.09,1.1,1.1,18.26,1.24,1.22,1.0
3,-0.06,-0.09,1.08,1.09,11.9,1.14,16.2,1.0
4,0.02,-0.04,1.07,1.08,-19.11,-0.44,16.47,1.0
5,0.03,-0.02,1.09,1.09,-20.76,-2.26,15.52,1.0
6,-0.02,0.05,1.09,1.09,0.09,1.82,9.17,1.0
7,-0.04,0.04,1.06,1.06,10.2,5.27,-1.47,1.0
8,0.06,0.04,1.02,1.02,0.83,10.58,-9.55,1.0
9,0.09,0.03,1.02,1.03,-20.65,4.9,-13.57,1.0
10,0.04,0.02,1.04,1.04,-23.66,-0.79,-14.0,1.0
11,-0.05,0.06,1.09,1.09,-1.4,-4.4,-11.09,1.0
12,0.02,0.04,1.05,1.05,19.46,-12.27,-4.5,1.0
13,-0.09,0.02,1.05,1.05,-12.07,5.35,4.76,1.0
14,-0.0,0.04,1.07,1.07,-26.08,1.88,13.43,1.0
15,0.0,0.11,1.08,1.09,-16.51,-0.21,13.24,1.0
16,-0.01,0.11,1.1,1.11,3.73,3.6,1.34,1.0
17,0.02,0.09,1.01,1.01,7.89,5.04,-11.48,1.0
18,-0.04,0.04,1.05,1.05,13.29,-6.9,-12.3,1.0
19,0.03,0.01,1.03,1.03,1.64,-12.13,-4.76,1.0
20,-0.05,0.06,1.07,1.07,-19.73,2.65,-1.84,1.0
21,-0.05,0.04,1.1,1.1,-6.52,-2.13,-3.25,1.0
22,0.05,0.05,1.07,1.07,-6.76,7.4,2.5,1.0
23,0.08,0.03,1.07,1.07,-11.91,1.41,4.41,1.0
24,-0.03,0.05,1.1,1.1,-9.37,5.05,6.66,1.0
25,0.05,0.08,1.08,1.08,9.02,5.79,8.44,1.0
26,-0.03,0.05,1.05,1.05,4.05,7.57,-9.65,1.0
27,-0.02,0.03,1.04,1.04,-1.65,-5.12,-9.29,1.0
28,0.02,0.02,1.08,1.08,8.5,-18.91,1.09,1.0
29,0.01,0.05,1.06,1.06,3.89,-6.23,-0.75,1.0
30,-0.1,0.05,1.1,1.11,3.26,0.37,-0.34,1.0
31,0.03,0.03,1.06,1.06,-0.9,0.51,-0.51,1.0
32,0.09,0.05,1.07,1.08,18.78,-3.59,11.0,1.0
33,-0.01,0.11,1.09,1.09,8.14,3.52,-0.59,1.0
34,-0.06,0.11,1.03,1.04,13.66,1.15,-17.96,1.0
35,-0.13,0.11,1.09,1.11,48.33,-7.06,-15.75,1.0
36,-0.12,-0.08,1.1,1.11,71.52,19.68,-3.56,1.0
37,0.12,-0.05,1.02,1.03,63.09,56.05,17.91,1.0
38,0.1,0.04,1.04,1.04,32.15,85.4,14.95,1.0
39,0.05,0.05,1.0,1.0,8.59,97.85,25.33,1.0
40,0.27,0.15,1.02,1.06,24.71,107.33,121.45,1.0
41,0.79,0.42,0.44,1.0,114.68,166.93,100.07,7.0
42,0.71,0.26,-0.09,0.76,89.08,69.95,14.4,7.0
43,0.89,0.34,-0.36,1.01,-25.35,93.65,7.68,7.0
44,1.02,0.24,0.5,1.16,-3.61,97.41,15.63,7.0
45,1.36,0.18,-0.17,1.39,52.54,27.22,-6.75,7.0
46,0.92,0.14,0.02,0.93,0.41,0.25,-0.86,7.0
47,0.9,0.13,0.0,0.91,-0.17,0.15,-0.71,7.0
48,0.9,0.13,0.0,0.91,-0.14,0.15,-0.73,7.0
49,0.91,0.13,-0.01,0.92,0.32,-0.05,-0.05,7.0
50,0.92,0.11,-0.0,0.92,-2.9,-2.44,-0.3,7.0
51,0.9,0.13,0.0,0.91,-1.17,-0.81,-0.66,7.0
52,0.9,0.14,-0.0,0.91,0.72,0.79,-0.88,7.0
53,0.9,0.13,0.0,0.91,0.23,0.5,-0.77,7.0
54,0.9,0.13,-0.0,0.91,0.72,1.01,-0.83,7.0
55,0.9,0.13,-0.0,0.91,-0.19,0.16,-0.7,7.0
56,0.9,0.13,0.01,0.91,-1.39,-0.75,-0.56,7.0
57,0.9,0.13,0.0,0.91,0.83,0.43,-0.83,7.0
58,0.9,0.13,-0.0,0.91,-0.26,-0.85,-0.65,5.0
59,0.9,0.14,0.01,0.91,-0.33,-0.15,-0.73,5.0
60,0.89,0.13,-0.0,0.9,-0.58,-0.02,-0.69,5.0
61,0.9,0.14,0.0,0.91,-0.07,0.6,-0.74,5.0
62,0.9,0.14,0.01,0.91,-0.1,0.46,-0.72,5.0
63,0.9,0.14,0.0,0.91,0.86,1.28,-0.87,5.0
64,0.9,0.13,0.0,0.91,-0.18,0.49,-0.72,5.0
65,0.9,0.13,-0.01,0.91,-0.27,0.1,-0.67,5.0
66,0.9,0.13,-0.0,0.91,-2.47,-1.39,-0.38,5.0
67,0.9,0.15,0.04,0.91,-3.71,-1.54,-0.22,5.0
68,0.89,0.15,0.02,0.9,-1.37,-0.71,-0.51,5.0
69,0.89,0.14,-0.02,0.9,-3.97,-1.69,-0.27,6.0
70,0.9,0.19,-0.06,0.92,-6.67,-2.03,-0.94,6.0
71,0.89,0.21,-0.1,0.92,-2.35,-14.25,-7.58,6.0
