,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.0,0.03,1.14,1.14,-0.74,3.72,-1.02,1.0
1,0.0,0.03,1.13,1.13,-0.67,3.33,-0.92,1.0
2,0.0,0.03,1.11,1.11,-0.29,1.02,-0.84,1.0
3,0.0,0.03,1.13,1.13,0.15,-1.37,-0.62,1.0
4,0.0,0.03,1.16,1.16,-0.64,3.4,-0.88,1.0
5,-0.03,-0.06,1.1,1.1,0.96,7.93,-0.09,1.0
6,-0.08,-0.17,1.05,1.06,0.97,-3.85,9.06,1.0
7,-0.01,-0.07,1.15,1.15,-17.0,-3.43,28.32,1.0
8,0.1,0.04,1.14,1.15,-5.83,1.53,6.7,1.0
9,0.08,0.03,1.14,1.14,12.17,6.48,-21.41,1.0
10,-0.04,-0.04,1.12,1.12,17.22,-4.43,-22.97,1.0
11,-0.07,-0.07,1.13,1.13,-5.02,6.18,-8.0,1.0
12,-0.0,-0.05,1.13,1.13,-10.24,-0.57,6.32,1.0
13,0.09,0.03,1.1,1.11,-2.4,-6.98,-1.73,1.0
14,0.08,-0.01,1.14,1.14,10.07,-5.47,-14.55,1.0
15,0.03,0.01,1.13,1.13,17.49,12.56,-13.99,1.0
16,-0.11,-0.03,1.08,1.09,22.86,17.43,-26.03,1.0
17,-0.02,-0.09,1.04,1.05,17.44,-6.0,-11.83,1.0
18,0.06,-0.09,1.07,1.07,-8.05,-3.75,8.01,1.0
19,0.04,-0.06,1.1,1.1,-24.14,-0.67,21.23,1.0
20,0.05,-0.04,1.12,1.12,-15.15,-0.47,19.66,1.0
21,-0.06,-0.0,1.14,1.14,-1.63,6.96,2.94,1.0
22,0.03,0.02,1.06,1.06,18.56,14.34,-11.64,1.0
23,0.04,0.0,1.05,1.05,11.71,14.85,-20.97,1.0
24,0.05,-0.04,1.03,1.03,2.0,2.62,-14.41,1.0
25,-0.0,-0.06,1.1,1.1,-6.73,-2.71,0.52,1.0
26,0.03,-0.06,1.06,1.07,-3.26,-8.09,-1.11,1.0
27,-0.01,-0.05,1.09,1.09,-17.44,0.91,9.08,1.0
28,0.09,-0.03,1.08,1.08,-25.19,-5.14,7.96,1.0
29,0.03,-0.02,1.1,1.1,-6.72,-3.49,9.78,1.0
30,0.03,0.02,1.11,1.11,-4.29,3.4,9.22,1.0
31,-0.05,0.01,1.02,1.02,-6.33,2.97,-17.06,1.0
