,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.01,-0.03,0.95,0.95,7.75,4.7,-1.94,1.0
1,0.02,-0.07,0.99,0.99,0.09,-2.86,-5.29,1.0
2,0.03,-0.12,0.99,1.0,-0.74,-5.58,-5.11,1.0
3,0.03,-0.12,1.03,1.04,-5.71,-4.55,-0.73,1.0
4,0.02,-0.09,1.07,1.08,-2.9,-1.59,1.44,1.0
5,0.02,-0.07,1.01,1.01,4.85,5.19,-5.46,1.0
6,0.03,-0.13,0.97,0.98,-4.09,-2.58,-3.88,1.0
7,0.03,-0.1,1.02,1.02,-5.08,-6.15,-2.5,1.0
8,0.03,-0.1,1.06,1.07,-11.14,-7.22,-2.47,1.0
9,0.03,-0.13,1.08,1.09,-0.69,0.47,-4.26,1.0
10,0.03,-0.13,1.05,1.06,2.08,5.49,-2.92,1.0
11,0.03,-0.14,0.99,1.0,3.86,3.83,-2.89,1.0
12,-0.01,-0.09,1.01,1.02,-1.99,-5.26,-6.8,1.0
13,-0.04,-0.05,1.03,1.04,2.02,-5.99,-1.86,1.0
14,-0.14,0.01,1.06,1.07,8.14,0.71,7.22,1.0
15,0.01,0.06,1.08,1.08,16.36,16.19,9.41,1.0
16,0.09,-0.03,1.02,1.02,26.71,20.36,-2.1,1.0
17,-0.0,-0.14,1.02,1.03,28.09,15.51,8.23,1.0
18,-0.04,-0.12,1.02,1.02,19.04,11.07,29.11,1.0
19,0.13,-0.01,1.0,1.01,12.32,6.44,26.63,1.0
20,0.15,0.03,1.12,1.13,-82.38,-79.38,78.44,1.0
21,-0.13,0.11,1.22,1.23,-26.13,-35.15,43.07,1.0
22,0.0,0.09,1.14,1.14,28.17,16.45,-5.65,1.0
23,0.07,0.11,1.05,1.06,39.39,24.83,-19.61,1.0
24,0.03,0.15,1.01,1.03,9.93,8.61,-29.82,1.0
25,0.01,0.25,1.03,1.06,-22.88,0.13,-17.08,1.0
26,-0.04,0.27,1.06,1.1,-12.65,3.46,-24.73,1.0
27,-0.08,0.31,1.1,1.15,-0.55,16.37,-26.83,1.0
28,-0.17,0.17,1.09,1.12,11.45,37.77,-43.81,1.0
29,-0.12,0.12,1.02,1.04,17.07,28.91,-7.92,1.0
30,0.09,-0.06,0.98,0.99,-0.3,16.42,-2.04,1.0
31,0.05,-0.03,0.99,0.99,12.64,2.24,21.47,1.0
32,0.2,0.06,0.93,0.95,9.87,-20.74,13.81,1.0
33,0.09,-0.08,1.03,1.03,-24.49,-21.76,2.47,1.0
34,0.11,0.01,1.04,1.04,-44.76,-2.51,4.37,1.0
35,0.05,-0.04,0.96,0.97,-44.03,13.15,-5.78,1.0
36,0.19,0.02,0.98,0.99,-59.9,11.92,-20.85,1.0
37,0.4,0.18,0.82,0.93,-111.58,35.03,-76.61,1.0
38,0.29,-0.17,0.86,0.92,-149.3,46.46,-34.3,1.0
39,0.46,0.27,0.6,0.8,-169.64,143.17,17.69,7.0
40,0.64,0.29,0.75,1.03,-15.72,150.15,-7.35,7.0
41,1.14,0.17,0.76,1.38,0.38,248.54,-54.75,7.0
42,1.23,0.17,-0.26,1.27,8.92,13.34,20.03,7.0
43,0.9,0.13,-0.01,0.91,0.17,0.6,-0.04,7.0
44,0.88,0.12,0.0,0.89,-0.13,0.17,-0.74,7.0
45,0.89,0.13,0.0,0.89,-0.12,0.18,-0.72,7.0
46,0.88,0.14,0.01,0.89,-0.11,0.05,-0.5,7.0
47,0.88,0.12,0.0,0.89,-0.27,-0.11,-0.81,7.0
48,0.88,0.14,0.0,0.89,-2.0,-1.43,-3.73,7.0
49,0.88,0.1,-0.0,0.88,-7.95,-3.23,-20.23,7.0
50,0.89,0.12,0.0,0.9,12.03,7.23,-2.99,7.0
51,0.89,0.13,0.0,0.89,0.28,0.42,-0.81,7.0
52,0.89,0.13,0.0,0.89,-0.11,0.19,-0.7,7.0
53,0.89,0.13,0.0,0.89,-0.14,0.18,-0.68,7.0
54,0.88,0.13,0.0,0.89,-0.14,0.21,-0.76,7.0
55,0.89,0.12,0.0,0.89,-0.14,0.22,-0.73,7.0
56,0.89,0.13,0.0,0.89,-0.15,0.2,-0.72,5.0
57,0.89,0.12,0.0,0.89,-0.15,0.16,-0.73,5.0
58,0.89,0.12,0.0,0.89,-0.17,0.18,-0.75,5.0
59,0.89,0.12,0.0,0.89,-0.13,0.17,-0.74,5.0
60,0.89,0.12,0.0,0.89,-0.13,0.21,-0.75,5.0
61,0.88,0.12,0.0,0.89,-0.17,0.19,-0.72,5.0
62,0.88,0.12,0.0,0.89,-0.17,0.2,-0.73,5.0
63,0.89,0.13,0.0,0.89,-0.14,0.18,-0.7,5.0
64,0.89,0.12,0.0,0.89,-0.11,0.23,-0.73,5.0
65,0.89,0.12,0.0,0.89,-0.12,0.17,-0.73,5.0
66,0.89,0.12,0.0,0.89,-0.1,0.09,-0.67,5.0
67,0.89,0.12,0.0,0.89,-3.73,-2.53,-0.13,5.0
68,0.88,0.14,0.01,0.89,-6.83,-2.63,0.39,5.0
69,0.88,0.12,-0.0,0.89,8.68,4.16,-1.98,6.0
70,0.88,0.13,0.0,0.89,0.74,0.74,-0.96,6.0
71,0.88,0.13,0.0,0.89,-0.11,0.18,-0.76,6.0
72,0.89,0.13,0.0,0.89,0.04,0.05,-0.67,6.0
73,0.99,-0.01,-0.09,1.0,-0.87,-6.57,6.93,6.0
74,0.76,0.17,-0.23,0.81,9.81,-42.78,20.66,6.0
75,0.81,0.12,-0.32,0.88,15.83,-98.06,2.97,6.0
76,0.69,0.08,0.14,0.71,18.08,-121.69,-2.24,6.0
77,0.47,0.06,0.36,0.6,18.14,-112.72,5.13,6.0
