,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.07,-0.22,1.07,1.09,11.88,14.1,-5.16,1.0
1,0.08,-0.23,1.03,1.06,9.5,9.43,-2.09,1.0
2,0.07,-0.22,1.02,1.05,1.44,3.27,1.6,1.0
3,0.08,-0.21,1.03,1.06,-2.48,-0.2,1.18,1.0
4,0.05,-0.21,1.03,1.06,-3.73,-1.34,-2.47,1.0
5,0.07,-0.18,1.05,1.07,-4.41,1.26,-7.59,1.0
6,0.03,-0.19,1.05,1.07,-2.59,2.12,-12.98,1.0
7,0.02,-0.18,1.06,1.07,5.0,-0.28,-17.58,1.0
8,-0.0,-0.19,1.05,1.07,5.15,0.01,-19.83,1.0
9,0.03,-0.18,1.08,1.09,10.96,3.8,-24.12,1.0
10,-0.01,-0.27,1.05,1.09,17.15,6.94,-15.43,1.0
11,0.06,-0.23,1.07,1.1,14.55,1.29,4.45,1.0
12,0.05,-0.24,1.0,1.03,9.94,-8.17,26.53,1.0
13,0.01,-0.2,1.03,1.05,-4.86,-4.73,29.89,1.0
14,0.08,-0.13,1.09,1.1,-19.14,7.08,13.43,1.0
15,0.02,-0.22,1.03,1.06,-17.4,8.32,10.86,1.0
16,0.0,-0.22,1.1,1.13,0.86,6.15,12.86,1.0
17,0.09,-0.17,1.07,1.09,22.46,4.84,8.16,1.0
18,0.09,-0.19,1.01,1.03,-2.13,-2.03,20.37,1.0
19,0.06,-0.14,1.02,1.03,-26.35,-14.47,15.08,1.0
20,0.0,-0.14,1.0,1.01,-19.81,-14.75,5.97,1.0
21,0.05,-0.16,1.11,1.12,-27.63,-19.57,0.89,1.0
22,0.06,-0.14,1.15,1.16,-11.59,-8.6,2.26,1.0
23,0.08,-0.17,1.12,1.13,-14.19,-0.31,16.93,1.0
24,0.03,-0.21,1.0,1.02,-28.47,-4.07,24.68,1.0
25,0.09,-0.22,0.99,1.02,-4.57,-12.47,23.67,1.0
26,0.07,-0.23,1.03,1.05,-26.94,-19.75,27.0,1.0
27,0.06,-0.25,1.06,1.09,-19.3,11.1,19.99,1.0
28,0.0,-0.32,0.94,0.99,-28.86,17.24,0.86,1.0
29,0.23,-0.24,0.98,1.04,-74.8,35.08,-6.26,1.0
30,0.12,-0.27,0.97,1.01,-98.45,44.52,-0.31,1.0
31,-0.31,0.0,1.21,1.25,-57.77,76.31,-13.76,1.0
32,0.2,-0.09,0.73,0.77,-74.9,108.63,-31.38,1.0
33,0.39,0.12,0.32,0.51,-125.77,103.76,-10.29,1.0
34,0.44,-0.15,-0.01,0.46,-30.53,112.65,-18.74,7.0
35,0.81,0.07,0.75,1.11,-33.82,151.46,-5.58,7.0
36,1.61,0.23,-1.05,1.94,-16.47,108.67,6.71,7.0
37,0.91,0.09,-0.16,0.93,-0.77,4.52,0.12,7.0
38,0.89,0.09,-0.11,0.9,-0.25,1.08,-0.01,7.0
39,0.89,0.09,-0.11,0.9,-0.22,1.01,-0.05,7.0
40,0.89,0.09,-0.11,0.9,-0.19,1.03,-0.04,7.0
41,0.89,0.09,-0.11,0.9,-0.2,1.04,-0.01,7.0
42,0.89,0.09,-0.11,0.9,-0.23,1.04,-0.04,7.0
43,0.89,0.09,-0.11,0.9,-0.23,1.0,-0.01,7.0
44,0.89,0.08,-0.11,0.9,-0.67,0.16,0.01,7.0
45,0.89,0.09,-0.11,0.9,-0.64,0.74,0.16,7.0
46,0.89,0.09,-0.11,0.9,-0.08,1.14,-0.06,7.0
47,0.89,0.08,-0.11,0.9,1.52,2.33,-0.31,7.0
48,0.89,0.09,-0.11,0.9,-0.13,1.09,-0.07,7.0
49,0.89,0.09,-0.11,0.9,-0.23,1.05,-0.06,7.0
50,0.89,0.09,-0.11,0.9,-0.22,1.04,-0.06,7.0
51,0.89,0.09,-0.11,0.9,-0.23,1.02,-0.06,5.0
52,0.89,0.09,-0.11,0.9,-0.19,0.99,-0.06,5.0
53,0.89,0.09,-0.11,0.9,-0.22,1.06,-0.05,5.0
54,0.89,0.09,-0.11,0.9,-0.21,1.09,-0.04,5.0
55,0.89,0.09,-0.11,0.9,-0.22,1.04,-0.02,5.0
56,0.89,0.09,-0.11,0.9,-0.21,1.0,-0.08,5.0
57,0.89,0.09,-0.11,0.9,-0.34,0.89,-0.04,5.0
58,0.89,0.09,-0.11,0.9,-1.6,0.09,0.15,5.0
59,0.89,0.09,-0.11,0.9,0.21,1.21,-2.26,5.0
60,0.89,0.09,-0.11,0.9,1.38,1.2,-0.31,6.0
61,0.89,0.09,-0.19,0.91,-1.02,-6.04,0.21,6.0
62,0.87,0.03,-0.21,0.89,4.3,-17.54,-0.07,6.0
63,0.85,0.02,-0.37,0.92,12.34,-28.44,5.96,6.0
64,0.76,0.07,-0.26,0.81,13.86,-60.73,7.05,6.0
65,0.67,0.05,-0.13,0.68,16.48,-77.82,2.62,6.0
66,0.55,0.03,0.03,0.55,17.33,-89.23,-0.68,6.0
67,0.41,-0.02,0.17,0.45,17.75,-89.43,-0.44,6.0
68,0.3,-0.06,0.35,0.46,17.96,-85.9,1.69,6.0
69,0.19,-0.05,0.51,0.54,15.64,-76.23,5.22,6.0
