,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.03,-0.14,0.82,0.83,-0.38,2.14,1.3,1.0
1,0.02,-0.14,0.85,0.86,-3.47,0.04,3.52,1.0
2,0.02,-0.11,0.87,0.87,-0.57,1.87,1.49,1.0
3,0.02,-0.1,0.85,0.86,-0.41,5.04,-2.5,1.0
4,0.02,-0.16,0.81,0.83,0.48,1.87,-1.42,1.0
5,0.02,-0.13,0.84,0.85,-2.95,-0.48,1.69,1.0
6,0.02,-0.13,0.87,0.88,-4.01,-3.9,1.21,1.0
7,0.02,-0.12,0.83,0.84,0.94,5.25,-0.82,1.0
8,0.02,-0.12,0.85,0.85,-1.61,-0.25,-0.04,1.0
9,-0.02,-0.03,0.84,0.84,-3.66,2.48,-10.12,1.0
10,0.06,-0.24,0.81,0.85,-71.31,-25.37,-9.74,1.0
11,0.04,-0.19,1.03,1.05,-7.98,6.58,-6.66,1.0
12,-0.03,-0.21,0.74,0.77,56.14,13.49,-12.56,1.0
13,-0.09,0.0,0.86,0.86,7.08,-14.29,-48.49,1.0
14,-0.1,-0.05,0.94,0.95,8.92,-9.97,-15.98,1.0
15,-0.05,-0.03,0.84,0.84,22.12,4.83,-4.77,1.0
16,0.05,-0.08,0.81,0.82,-16.44,2.53,6.89,1.0
17,-0.02,-0.13,0.9,0.9,-29.55,17.26,27.6,1.0
18,-0.04,-0.09,0.84,0.85,4.18,0.5,35.87,1.0
19,0.08,-0.07,0.88,0.89,23.09,-5.99,38.96,1.0
20,0.02,-0.14,0.88,0.89,4.75,-4.31,36.16,1.0
21,-0.03,-0.15,0.93,0.94,-23.65,1.32,25.96,1.0
22,0.03,-0.06,0.92,0.92,-40.19,9.11,22.85,1.0
23,0.16,-0.04,0.84,0.85,-80.74,-2.13,10.95,1.0
24,0.02,-0.08,0.89,0.89,-134.66,-29.3,10.68,1.0
25,-0.11,0.01,0.77,0.78,-96.8,11.56,-10.05,1.0
26,0.09,-0.01,0.68,0.69,-52.21,90.49,-99.89,1.0
27,0.18,-0.22,0.59,0.65,-37.03,88.54,-90.91,1.0
28,0.48,-0.1,0.47,0.68,-82.67,61.39,-84.15,1.0
29,0.69,-0.08,0.72,1.0,-165.29,71.54,-57.56,1.0
30,0.87,0.17,1.07,1.39,-212.31,249.38,23.01,7.0
31,1.16,0.16,0.25,1.2,-133.16,62.46,-18.68,7.0
32,1.07,-0.07,-0.27,1.11,44.05,-32.32,-13.51,7.0
33,0.88,0.08,-0.17,0.9,1.86,-0.83,-0.19,7.0
34,0.89,0.08,-0.11,0.91,-0.19,0.99,-0.1,7.0
35,0.9,0.08,-0.11,0.91,-0.19,1.01,-0.05,7.0
36,0.9,0.09,-0.11,0.91,-0.21,1.02,-0.08,7.0
37,0.89,0.09,-0.11,0.9,-0.33,0.87,-0.14,7.0
38,0.89,0.09,-0.11,0.9,-1.4,-0.05,0.47,7.0
39,0.89,0.09,-0.11,0.91,0.38,1.39,-0.04,7.0
40,0.89,0.09,-0.11,0.9,-0.11,1.22,-0.09,7.0
41,0.9,0.09,-0.11,0.91,-0.19,1.08,-0.07,7.0
42,0.89,0.09,-0.11,0.9,-0.19,1.06,-0.08,7.0
43,0.89,0.09,-0.11,0.91,-0.19,1.04,-0.08,7.0
44,0.89,0.09,-0.11,0.91,-0.19,1.03,-0.08,7.0
45,0.89,0.08,-0.11,0.9,-0.26,1.07,-0.08,5.0
46,0.89,0.09,-0.11,0.91,-1.29,1.35,0.07,5.0
47,0.9,0.09,-0.11,0.91,0.26,0.91,-0.11,5.0
48,0.89,0.09,-0.11,0.9,-1.26,1.36,0.14,5.0
49,0.9,0.09,-0.11,0.91,0.37,0.94,-0.13,5.0
50,0.89,0.08,-0.11,0.9,0.28,0.94,-0.11,5.0
51,0.9,0.09,-0.11,0.91,0.89,0.63,-0.14,5.0
52,0.89,0.09,-0.11,0.9,-0.11,1.0,-0.05,5.0
53,0.89,0.09,-0.11,0.9,-0.17,1.04,-0.07,5.0
54,0.89,0.09,-0.11,0.9,0.03,0.78,-0.27,5.0
55,0.9,0.09,-0.11,0.91,-0.25,0.73,-0.16,5.0
56,0.89,0.09,-0.11,0.9,-0.15,1.0,-0.07,5.0
57,0.89,0.08,-0.11,0.9,-0.41,0.91,-0.03,5.0
58,0.89,0.09,-0.11,0.9,0.91,0.78,-0.23,6.0
