,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,-0.02,0.15,1.02,1.03,-0.61,-0.11,-0.64,1.0
1,-0.04,0.18,0.98,1.0,-2.32,-2.27,-2.72,1.0
2,-0.13,0.26,0.96,1.0,-16.4,-20.55,-23.45,1.0
3,-0.09,0.27,1.15,1.18,-9.61,-33.78,-35.08,1.0
4,-0.04,0.28,1.07,1.11,-1.5,2.6,-29.89,1.0
5,-0.03,0.23,1.05,1.08,6.17,23.01,-22.65,1.0
6,-0.04,0.17,1.04,1.05,4.57,24.52,-6.75,1.0
7,0.01,0.09,0.99,1.0,-3.08,20.07,17.11,1.0
8,0.04,0.07,1.02,1.02,-9.15,18.65,31.15,1.0
9,0.01,0.17,1.0,1.01,2.74,13.22,38.54,1.0
10,-0.06,0.15,0.96,0.98,15.89,3.58,18.33,1.0
11,-0.05,0.13,0.94,0.95,7.11,-0.83,0.28,1.0
12,0.01,0.13,0.96,0.97,-21.16,1.46,-15.55,1.0
13,-0.06,0.12,0.94,0.95,-9.52,3.8,13.71,1.0
14,0.04,0.15,0.99,1.0,-12.08,-2.8,2.17,1.0
15,0.07,0.1,0.95,0.96,-3.36,-3.49,-3.27,1.0
16,-0.13,0.08,0.94,0.95,-0.91,2.04,2.18,1.0
17,0.09,0.05,0.88,0.89,-18.58,-1.3,-3.4,1.0
18,0.03,0.02,0.9,0.9,-18.05,-1.08,4.61,1.0
19,-0.07,0.08,0.88,0.88,-35.66,-5.85,2.97,1.0
20,0.04,0.14,0.98,0.99,-34.62,1.29,-9.93,1.0
21,-0.1,0.13,1.01,1.03,-20.76,13.78,-9.19,1.0
22,-0.11,0.17,0.84,0.86,-98.78,6.28,-33.25,1.0
23,0.37,0.04,0.96,1.03,-174.38,5.56,-37.0,1.0
24,0.52,0.0,0.92,1.06,-200.92,36.64,-26.64,1.0
25,-0.86,0.46,0.49,1.09,-37.62,139.21,-61.71,1.0
26,0.72,-0.25,0.22,0.79,28.78,186.77,-104.32,1.0
27,0.88,-0.1,0.37,0.96,-148.07,115.05,-54.42,7.0
28,1.58,-0.32,-0.94,1.87,38.31,58.92,10.89,7.0
29,0.91,0.07,-0.13,0.92,75.13,7.64,-25.74,7.0
30,0.88,0.12,-0.01,0.89,1.38,0.63,-2.49,7.0
31,0.89,0.12,0.0,0.9,-0.16,0.16,-0.71,7.0
32,0.89,0.12,0.0,0.9,-0.1,0.08,-0.7,7.0
33,0.89,0.12,0.0,0.9,-0.78,-0.01,-0.25,7.0
34,0.89,0.12,0.0,0.9,0.3,0.08,-0.14,7.0
35,0.88,0.13,0.0,0.89,0.13,-0.1,0.91,7.0
36,0.89,0.11,-0.0,0.9,-0.23,0.53,-1.76,7.0
37,0.89,0.12,0.0,0.9,-0.15,0.27,-0.86,7.0
38,0.89,0.12,0.0,0.9,-0.17,0.22,-0.73,7.0
39,0.89,0.12,0.0,0.9,-0.13,0.19,-0.71,7.0
40,0.89,0.12,0.0,0.9,-0.17,0.18,-0.67,7.0
41,0.89,0.12,0.0,0.9,-0.16,0.2,-0.71,7.0
42,0.89,0.12,0.0,0.9,-0.18,0.18,-0.67,5.0
43,0.89,0.12,0.0,0.9,-0.19,0.18,-0.7,5.0
44,0.89,0.12,0.0,0.9,-0.15,0.22,-0.67,5.0
45,0.89,0.12,0.0,0.9,-0.16,0.19,-0.68,5.0
46,0.89,0.12,0.0,0.9,-0.17,0.2,-0.69,5.0
47,0.89,0.12,0.0,0.9,-0.19,0.19,-0.68,5.0
48,0.89,0.12,0.0,0.9,-0.14,0.21,-0.7,5.0
49,0.89,0.12,0.0,0.9,-0.18,0.2,-0.72,5.0
50,0.89,0.12,0.0,0.9,0.35,-0.14,-0.7,5.0
51,0.89,0.12,0.0,0.89,-0.58,-0.2,0.34,5.0
52,0.89,0.11,0.0,0.9,-0.2,0.05,-0.4,5.0
53,0.89,0.12,0.0,0.89,-0.23,0.63,-1.54,6.0
54,0.89,0.12,0.0,0.9,-0.2,0.22,-0.86,6.0
55,0.89,0.12,0.0,0.9,-0.11,0.09,-0.76,6.0
56,0.89,0.12,0.0,0.9,0.23,-0.69,-0.49,6.0
57,0.96,0.05,-0.17,0.98,2.55,-11.7,14.55,6.0
58,0.8,0.17,-0.46,0.94,16.41,-72.78,13.24,6.0
59,0.84,0.1,-0.21,0.88,22.46,-144.81,6.06,6.0
60,0.62,0.08,0.4,0.74,22.71,-154.29,1.45,6.0
61,0.34,0.05,0.65,0.74,24.08,-124.91,-1.8,6.0
62,0.18,0.0,0.86,0.88,20.11,-98.24,7.58,6.0
63,0.06,0.05,1.06,1.06,11.1,-63.94,7.73,6.0
64,0.02,-0.01,0.98,0.98,5.15,-27.03,-4.08,6.0
65,0.01,0.01,0.99,0.99,4.37,-21.56,-0.57,6.0
