,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.04,-0.17,1.12,1.13,2.7,-1.21,-0.77,1.0
1,-0.07,-0.1,1.09,1.09,1.45,-7.74,-4.56,1.0
2,-0.09,0.06,1.12,1.12,-0.88,-22.22,-5.3,1.0
3,0.04,0.06,1.1,1.1,-28.88,-2.92,-12.36,1.0
4,-0.02,-0.0,1.11,1.11,-23.47,9.05,-0.64,1.0
5,-0.04,0.01,1.1,1.1,0.16,14.05,12.67,1.0
6,-0.06,-0.03,1.06,1.07,1.51,11.63,17.2,1.0
7,0.04,0.02,1.08,1.08,12.38,1.26,17.65,1.0
8,0.02,0.04,1.14,1.15,25.71,6.94,18.36,1.0
9,-0.05,-0.04,1.06,1.06,15.67,16.69,9.85,1.0
10,0.05,-0.03,1.05,1.05,7.22,16.31,14.13,1.0
11,-0.03,-0.04,1.03,1.03,-11.53,-0.86,12.74,1.0
12,0.03,-0.02,1.02,1.02,-29.68,-6.35,21.28,1.0
13,0.11,0.02,1.1,1.1,-11.83,-21.35,13.24,1.0
14,0.05,0.04,1.19,1.19,14.33,-29.58,3.57,1.0
15,0.03,0.01,1.15,1.15,8.3,4.26,-1.38,1.0
16,0.03,0.01,0.99,1.0,-20.27,67.11,-23.25,1.0
17,-0.04,-0.03,1.0,1.01,-23.59,-1.57,6.48,1.0
18,0.0,-0.04,1.07,1.07,-25.37,-2.49,6.21,1.0
19,0.11,0.06,1.06,1.07,-8.42,5.41,2.75,1.0
20,0.04,-0.07,1.03,1.03,-17.76,4.66,-0.54,1.0
21,0.18,0.13,0.99,1.01,-47.97,-18.58,-0.8,1.0
22,0.05,0.01,1.02,1.02,-82.59,-14.12,10.69,1.0
23,0.25,-0.0,1.08,1.1,-154.86,-66.99,11.17,1.0
24,0.28,-0.12,0.97,1.01,-233.61,63.22,15.35,1.0
25,0.59,0.11,0.78,0.98,-22.98,248.54,-138.84,1.0
26,0.84,-0.24,0.0,0.87,-78.95,141.38,-72.63,1.0
27,0.97,0.2,0.86,1.31,-146.35,138.5,18.83,7.0
28,0.99,0.23,0.6,1.18,-60.74,-147.23,38.15,7.0
29,0.85,0.31,0.51,1.04,210.62,200.76,-19.93,7.0
30,0.88,0.12,-0.07,0.89,6.91,6.54,-32.65,7.0
31,0.88,0.12,0.0,0.89,0.05,0.4,-1.52,7.0
32,0.88,0.12,0.0,0.89,-0.34,0.08,-0.63,7.0
33,0.88,0.12,0.0,0.89,-0.19,0.2,-0.67,7.0
34,0.88,0.13,0.01,0.89,-1.32,-0.87,0.12,7.0
35,0.87,0.13,0.0,0.88,1.23,1.14,0.29,7.0
36,0.88,0.12,0.01,0.89,0.34,0.58,-0.76,7.0
37,0.88,0.12,0.0,0.89,-0.17,0.21,-0.63,7.0
38,0.88,0.12,0.0,0.89,-0.18,0.21,-0.67,7.0
39,0.88,0.12,0.0,0.89,-0.2,0.18,-0.66,7.0
40,0.88,0.12,0.01,0.89,-0.21,0.5,-0.68,7.0
41,0.88,0.12,0.0,0.89,-0.07,0.08,-0.63,5.0
42,0.88,0.12,0.0,0.89,-0.29,0.23,-0.63,5.0
43,0.88,0.12,0.01,0.89,-0.3,0.4,-0.73,5.0
44,0.88,0.12,0.0,0.89,-0.07,-0.04,-0.68,5.0
45,0.88,0.12,0.0,0.89,-0.15,0.15,-0.67,5.0
46,0.88,0.12,0.0,0.89,-0.18,0.16,-0.67,5.0
47,0.88,0.12,0.0,0.89,-0.15,0.21,-0.68,5.0
48,0.88,0.13,-0.0,0.88,-7.23,-5.44,0.56,5.0
49,0.89,0.11,0.0,0.89,-0.66,-0.4,5.67,5.0
50,0.88,0.12,0.01,0.89,2.19,2.04,-1.06,6.0
51,0.88,0.12,0.0,0.89,-0.1,0.23,-0.67,6.0
52,0.88,0.12,0.0,0.89,-0.12,0.18,-0.66,6.0
53,0.88,0.12,0.0,0.89,0.19,-0.14,-0.58,6.0
54,0.91,0.08,-0.04,0.91,0.55,-2.78,0.71,6.0
55,0.89,0.06,-0.17,0.9,6.22,-21.49,26.4,6.0
56,0.79,0.21,-0.29,0.86,12.61,-66.85,21.19,6.0
57,0.7,0.11,-0.08,0.72,15.92,-96.44,10.89,6.0
58,0.58,0.12,0.16,0.62,15.47,-107.48,2.21,6.0
59,0.4,0.06,0.4,0.57,13.19,-95.93,3.24,6.0
60,0.5,0.14,0.48,0.71,12.49,-81.04,10.84,6.0
61,0.09,0.06,0.62,0.63,8.45,-78.09,13.93,6.0
62,0.08,0.11,0.82,0.83,4.15,-59.18,3.36,6.0
63,0.04,0.07,0.78,0.79,4.98,-50.2,-1.16,6.0
64,0.02,0.12,0.99,0.99,3.29,-44.64,3.27,6.0
65,-0.0,0.09,1.1,1.1,1.36,-23.54,-1.47,6.0
66,-0.01,0.07,1.0,1.0,0.54,-11.18,-1.46,6.0
