,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.03,-0.1,1.05,1.05,1.53,-3.27,-0.54,1.0
1,0.02,-0.09,1.06,1.06,0.11,-2.66,0.49,1.0
2,0.01,-0.09,1.04,1.05,-2.57,-3.91,-0.38,1.0
3,-0.22,-0.04,1.08,1.11,-11.23,-13.09,2.28,1.0
4,-0.04,0.25,1.14,1.17,16.62,-33.3,-0.28,1.0
5,-0.04,0.22,1.05,1.08,6.46,-1.48,-4.04,1.0
6,-0.09,0.14,1.03,1.05,-4.71,21.64,6.06,1.0
7,-0.06,0.12,1.0,1.01,-19.32,16.12,23.73,1.0
8,-0.03,0.08,1.01,1.01,-22.5,10.48,44.08,1.0
9,0.01,0.06,1.09,1.09,-14.13,23.45,50.7,1.0
10,0.11,0.2,0.98,1.01,3.6,24.64,37.85,1.0
11,-0.0,0.07,0.99,0.99,6.75,13.08,6.19,1.0
12,0.04,0.06,0.99,1.0,25.07,7.67,-0.34,1.0
13,0.08,0.1,0.92,0.93,-1.33,9.26,6.22,1.0
14,0.05,0.22,0.89,0.92,-31.78,-8.74,7.38,1.0
15,0.04,0.29,0.89,0.94,-43.7,-12.57,-17.91,1.0
16,-0.03,0.2,0.99,1.01,-97.04,-8.01,-53.91,1.0
17,0.23,0.09,1.04,1.07,-130.35,7.21,-42.21,1.0
18,-1.03,-0.11,1.0,1.45,-73.77,73.7,-100.38,1.0
19,0.31,-0.29,0.76,0.87,-57.68,61.94,-108.2,1.0
20,0.5,-0.26,0.64,0.85,-154.74,46.52,-65.92,7.0
21,-0.0,0.03,0.5,0.5,-252.05,103.15,25.08,7.0
22,1.04,0.2,0.97,1.43,-181.67,248.54,38.2,7.0
23,1.21,-0.32,1.73,2.13,-209.11,-46.68,26.09,7.0
24,1.29,-0.19,-0.01,1.31,175.89,-23.06,-38.78,7.0
25,1.19,0.13,0.15,1.2,64.31,-22.91,-21.11,7.0
26,0.89,0.12,-0.03,0.9,0.67,0.64,-3.47,7.0
27,0.88,0.12,0.0,0.89,-0.14,0.17,-0.8,7.0
28,0.88,0.12,0.0,0.89,-0.17,0.12,-0.55,7.0
29,0.89,0.12,0.0,0.9,-0.29,-0.39,-1.49,7.0
30,0.88,0.13,0.0,0.89,-0.15,-0.05,-1.84,7.0
31,0.88,0.13,0.01,0.89,0.31,0.79,-1.11,7.0
32,0.88,0.12,0.0,0.89,-0.13,0.25,-0.76,7.0
33,0.88,0.12,0.0,0.89,-0.19,0.19,-0.74,7.0
34,0.88,0.12,0.0,0.89,-0.17,0.18,-0.74,7.0
35,0.88,0.12,0.0,0.89,-0.16,0.25,-0.71,7.0
36,0.88,0.12,0.0,0.89,-0.15,0.22,-0.7,7.0
37,0.88,0.12,0.0,0.89,-0.16,0.21,-0.68,5.0
38,0.88,0.12,0.0,0.89,-0.21,0.19,-0.7,5.0
39,0.88,0.12,0.0,0.89,-0.15,0.19,-0.71,5.0
40,0.88,0.12,0.0,0.89,-0.15,0.18,-0.7,5.0
41,0.88,0.12,0.0,0.89,-0.18,0.18,-0.68,5.0
42,0.88,0.12,0.0,0.89,-0.17,0.2,-0.69,5.0
43,0.88,0.12,0.0,0.89,-0.13,0.2,-0.69,5.0
44,0.88,0.12,0.0,0.89,-0.16,0.23,-0.61,5.0
45,0.88,0.12,0.0,0.89,-0.17,0.02,-0.64,5.0
46,0.88,0.12,0.0,0.89,-0.26,0.09,-0.63,5.0
47,0.88,0.12,0.0,0.89,-2.57,-1.09,-1.04,5.0
48,0.89,0.12,-0.0,0.89,0.61,0.82,-1.12,6.0
49,0.88,0.12,0.0,0.89,-0.13,0.23,-0.69,6.0
50,0.88,0.12,0.0,0.89,-0.13,0.2,-0.7,6.0
51,0.88,0.12,0.0,0.89,-0.13,0.17,-0.7,6.0
52,0.89,0.11,-0.0,0.9,1.39,-1.66,-0.03,6.0
53,0.84,0.13,-0.33,0.91,9.58,-20.9,21.51,6.0
54,0.8,0.09,-0.47,0.94,17.62,-65.44,5.61,6.0
55,0.79,0.11,-0.15,0.81,23.23,-125.69,12.61,6.0
56,0.59,0.13,0.3,0.67,25.29,-138.29,9.09,6.0
57,0.37,0.06,0.55,0.67,21.38,-119.16,3.0,6.0
58,0.21,0.02,0.71,0.74,18.05,-99.85,3.81,6.0
59,0.15,0.06,0.86,0.88,16.95,-97.28,10.92,6.0
60,0.06,-0.02,1.13,1.13,11.38,-70.69,2.18,6.0
61,0.03,-0.0,1.26,1.26,7.25,-37.61,0.81,6.0
62,-0.0,0.01,1.2,1.2,8.49,-16.35,-9.8,6.0
63,0.02,0.05,1.18,1.18,12.18,3.5,14.65,6.0
