,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.03,-0.11,1.1,1.1,1.14,0.37,-0.47,1.0
1,0.03,-0.11,1.09,1.09,0.41,-0.14,-0.21,1.0
2,0.03,-0.1,1.1,1.1,-1.55,-0.79,-0.69,1.0
3,0.03,-0.12,1.11,1.11,0.29,-0.53,-0.74,1.0
4,0.03,-0.11,1.11,1.12,0.59,0.18,-0.91,1.0
5,0.01,-0.09,1.11,1.11,-0.89,0.03,-2.35,1.0
6,-0.13,0.04,1.08,1.08,5.69,-5.69,-20.8,1.0
7,-0.02,0.13,1.13,1.14,26.96,-28.86,-16.44,1.0
8,-0.04,0.05,1.11,1.11,10.31,7.11,-25.29,1.0
9,-0.04,-0.03,1.09,1.09,11.38,27.19,-10.35,1.0
10,-0.02,-0.07,1.06,1.06,12.79,32.26,6.45,1.0
11,0.13,-0.05,1.06,1.07,7.02,24.51,19.24,1.0
12,0.07,-0.05,1.07,1.07,0.29,21.55,26.8,1.0
13,-0.01,-0.01,1.0,1.0,6.12,3.78,17.52,1.0
14,-0.04,-0.11,1.03,1.04,-10.53,0.08,0.2,1.0
15,-0.05,-0.14,1.0,1.01,-21.64,4.4,15.07,1.0
16,-0.02,-0.06,0.98,0.98,-26.98,-6.42,16.46,1.0
17,0.11,-0.01,1.07,1.07,-25.72,1.72,-1.47,1.0
18,0.04,-0.04,1.02,1.02,1.3,7.38,1.7,1.0
19,-0.05,-0.0,0.99,0.99,2.57,2.7,-9.74,1.0
20,0.03,-0.02,0.98,0.98,-5.6,-2.25,-24.48,1.0
21,0.11,-0.07,0.91,0.92,-12.88,-13.34,-7.65,1.0
22,-0.11,-0.13,0.96,0.98,-20.47,-8.69,21.48,1.0
23,0.02,-0.05,0.98,0.98,-20.83,-15.4,21.86,1.0
24,0.08,-0.08,0.96,0.97,-21.41,-6.28,15.46,1.0
25,-0.04,-0.07,0.97,0.97,-23.36,6.97,10.28,1.0
26,0.05,0.02,0.9,0.9,-34.95,-5.49,-1.25,1.0
27,-0.17,0.03,0.94,0.95,-64.62,7.18,-19.18,1.0
28,0.11,0.02,0.92,0.92,-98.87,-5.83,-36.79,1.0
29,0.34,-0.05,0.95,1.01,-129.01,-25.82,-26.24,1.0
30,0.45,-0.08,0.94,1.05,-157.82,-31.5,-8.43,1.0
31,0.7,-0.02,1.17,1.36,-252.05,38.21,27.77,1.0
32,0.21,0.42,0.44,0.64,-48.41,173.54,-5.35,7.0
33,0.67,0.23,0.72,1.01,99.91,129.26,1.72,7.0
34,0.95,0.16,1.01,1.4,47.37,248.54,-38.57,7.0
35,1.05,0.18,0.89,1.39,-116.84,77.68,20.89,7.0
36,0.84,0.22,-0.11,0.87,20.55,1.6,3.02,7.0
37,0.88,0.12,-0.0,0.89,0.37,-0.19,-0.34,7.0
38,0.88,0.12,0.0,0.89,-0.23,0.02,-0.76,7.0
39,0.88,0.13,0.0,0.89,-0.26,-0.01,-0.22,7.0
40,0.89,0.12,-0.0,0.9,-0.2,-0.12,1.04,7.0
41,0.88,0.12,-0.0,0.89,-2.63,-0.67,-0.42,7.0
42,0.88,0.13,0.0,0.89,1.26,0.96,-1.25,7.0
43,0.88,0.12,0.0,0.89,-0.13,0.27,-0.86,7.0
44,0.88,0.12,0.0,0.89,-0.17,0.21,-0.71,7.0
45,0.88,0.12,0.0,0.89,-0.17,0.18,-0.66,7.0
46,0.88,0.12,0.0,0.89,-0.17,0.18,-0.65,7.0
47,0.88,0.12,0.0,0.89,-0.2,0.21,-0.65,7.0
48,0.88,0.12,0.0,0.89,-0.17,0.18,-0.62,5.0
49,0.88,0.12,0.0,0.89,-0.18,0.16,-0.62,5.0
50,0.88,0.12,0.0,0.89,-0.18,0.18,-0.67,5.0
51,0.88,0.12,0.0,0.89,-0.17,0.22,-0.64,5.0
52,0.88,0.12,0.0,0.89,-0.17,0.21,-0.66,5.0
53,0.88,0.12,0.0,0.89,-0.14,0.18,-0.62,5.0
54,0.88,0.12,0.0,0.89,-0.15,0.24,-0.68,5.0
55,0.88,0.12,0.0,0.89,-0.17,0.17,-0.67,5.0
56,0.88,0.12,0.0,0.89,-0.14,0.16,-0.57,5.0
57,0.88,0.12,0.0,0.89,-0.17,0.13,-0.56,5.0
58,0.88,0.12,0.0,0.89,-0.2,0.19,-0.63,5.0
59,0.88,0.12,0.0,0.89,-0.12,0.18,-0.74,5.0
60,0.88,0.12,0.0,0.89,-0.38,0.09,-0.94,5.0
61,0.88,0.12,0.0,0.89,-0.11,0.37,-1.44,6.0
62,0.88,0.12,0.0,0.89,-0.18,0.21,-0.84,6.0
63,0.88,0.12,0.0,0.89,-0.18,0.21,-0.69,6.0
64,0.88,0.12,0.0,0.89,-0.23,0.28,-0.65,6.0
65,0.88,0.12,0.0,0.89,-0.1,0.1,-0.61,6.0
66,0.88,0.12,0.0,0.89,0.02,-0.16,-0.63,6.0
67,0.88,0.12,-0.0,0.89,0.11,-0.65,-0.53,6.0
68,0.9,0.01,-0.21,0.92,-1.1,-12.83,10.98,6.0
69,0.8,0.23,-0.23,0.87,2.0,-43.34,7.37,6.0
70,0.79,0.13,-0.27,0.85,4.35,-94.58,10.07,6.0
71,0.71,0.17,-0.06,0.74,2.94,-139.4,6.41,6.0
72,0.5,0.13,0.51,0.73,2.06,-141.46,3.5,6.0
73,0.26,0.12,0.76,0.81,2.89,-101.83,3.58,6.0
74,0.15,0.15,0.84,0.87,3.96,-88.29,-1.99,6.0
75,0.01,0.18,1.06,1.08,-1.53,-59.33,-24.03,6.0
