,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.03,-0.14,0.97,0.99,4.98,-0.94,-5.67,1.0
1,0.03,-0.16,0.98,1.0,4.47,-3.59,-0.73,1.0
2,0.03,-0.13,1.02,1.03,2.02,-4.64,2.63,1.0
3,0.03,-0.11,1.02,1.02,0.37,-3.49,2.79,1.0
4,0.03,-0.1,1.01,1.01,0.2,-4.68,-0.29,1.0
5,0.03,-0.11,1.03,1.04,2.62,-6.54,-2.09,1.0
6,0.04,-0.16,1.07,1.08,5.44,-5.69,0.64,1.0
7,0.03,-0.13,1.09,1.1,5.51,-1.17,5.93,1.0
8,0.02,-0.06,1.06,1.06,1.19,1.55,6.29,1.0
9,0.02,-0.08,1.09,1.09,2.84,6.41,6.35,1.0
10,0.01,-0.07,1.03,1.03,-2.99,4.88,4.85,1.0
11,0.0,-0.03,1.15,1.15,-28.13,0.36,2.07,1.0
12,0.01,0.02,1.02,1.02,-28.45,5.97,0.44,1.0
13,-0.01,-0.05,0.99,0.99,-15.25,9.09,-9.74,1.0
14,-0.16,0.02,0.88,0.89,33.84,-0.33,-14.67,1.0
15,0.0,0.08,0.94,0.94,19.93,-19.57,-24.04,1.0
16,-0.0,0.06,0.95,0.95,-6.37,-3.56,-13.41,1.0
17,0.01,0.07,0.96,0.96,-9.45,0.43,-9.16,1.0
18,0.01,-0.01,0.95,0.95,-23.49,-4.59,2.33,1.0
19,0.05,-0.09,1.02,1.03,-22.53,6.69,17.61,1.0
20,0.0,-0.06,1.04,1.04,-4.06,18.93,30.84,1.0
21,0.16,0.02,0.95,0.96,0.57,17.29,19.08,1.0
22,0.01,-0.16,0.93,0.94,-13.78,3.83,7.48,1.0
23,0.07,-0.2,0.95,0.98,-42.13,-13.15,11.63,1.0
24,-0.07,-0.15,0.92,0.94,-55.62,-5.35,13.95,1.0
25,0.01,-0.03,0.89,0.89,-66.66,-3.97,3.32,1.0
26,0.03,0.22,0.89,0.92,-71.28,13.76,-40.19,1.0
27,0.28,0.06,0.96,1.0,-83.07,0.27,-63.42,1.0
28,0.42,-0.14,0.94,1.04,-108.71,-4.35,-18.39,1.0
29,0.61,-0.03,0.66,0.9,-252.05,47.8,-5.91,1.0
30,0.63,0.12,0.4,0.76,-111.7,140.86,-25.55,1.0
31,0.41,0.06,0.48,0.64,33.53,168.43,-64.45,7.0
32,1.04,0.16,0.59,1.21,-66.9,239.56,-48.07,7.0
33,1.05,0.12,-0.21,1.07,-9.59,15.92,-5.31,7.0
34,0.89,0.13,-0.0,0.9,-0.4,0.56,-0.83,7.0
35,0.88,0.12,0.0,0.89,-0.23,0.14,-0.72,7.0
36,0.88,0.12,0.0,0.89,-0.26,-0.53,-0.28,7.0
37,0.87,0.12,0.01,0.87,-5.85,-2.88,15.98,7.0
38,0.87,0.16,0.01,0.89,-0.66,-0.07,0.01,7.0
39,0.88,0.13,0.0,0.89,2.07,1.3,-0.99,7.0
40,0.87,0.16,0.02,0.89,-4.85,-1.65,-0.99,7.0
41,0.87,0.15,0.01,0.88,-6.31,-2.29,-2.67,7.0
42,0.88,0.14,-0.01,0.89,18.72,10.55,-1.29,7.0
43,0.89,0.13,0.0,0.89,0.45,0.48,-0.84,7.0
44,0.89,0.13,0.0,0.89,-0.14,0.18,-0.74,7.0
45,0.89,0.13,0.0,0.89,-0.13,0.16,-0.73,7.0
46,0.89,0.13,0.0,0.89,-0.12,0.15,-0.7,7.0
47,0.88,0.13,0.0,0.89,-0.14,0.19,-0.72,7.0
48,0.88,0.13,0.0,0.89,-0.16,0.21,-0.74,7.0
49,0.89,0.13,0.0,0.89,-0.19,0.21,-0.73,5.0
50,0.88,0.12,0.0,0.89,-0.15,0.2,-0.73,5.0
51,0.88,0.13,0.0,0.89,-0.13,0.19,-0.73,5.0
52,0.88,0.13,0.0,0.89,-0.17,0.19,-0.73,5.0
53,0.89,0.13,0.0,0.89,-0.15,0.17,-0.72,5.0
54,0.88,0.13,0.0,0.89,-0.12,0.18,-0.7,5.0
55,0.89,0.13,0.0,0.89,-0.15,0.21,-0.71,5.0
56,0.88,0.13,0.0,0.89,-0.16,0.21,-0.71,5.0
57,0.89,0.13,0.0,0.89,-0.13,0.23,-0.7,5.0
58,0.89,0.13,0.0,0.89,-0.17,0.21,-0.74,5.0
59,0.88,0.13,0.0,0.89,-0.12,0.17,-0.71,5.0
60,0.88,0.13,0.0,0.89,-0.17,0.17,-0.71,5.0
61,0.89,0.12,0.0,0.89,-0.15,0.21,-0.71,5.0
62,0.88,0.13,0.0,0.89,-0.16,0.22,-0.68,5.0
63,0.89,0.12,0.0,0.9,-1.32,-0.83,-0.47,5.0
64,0.88,0.13,0.0,0.89,-0.02,0.14,-0.7,5.0
65,0.89,0.13,0.0,0.89,0.72,0.78,-0.8,6.0
66,0.88,0.13,0.0,0.89,-0.14,0.24,-0.72,6.0
67,0.88,0.12,0.0,0.89,-0.13,0.19,-0.73,6.0
68,0.88,0.13,0.0,0.89,-0.01,0.1,-0.71,6.0
69,0.93,0.08,-0.02,0.93,1.39,-1.79,0.77,6.0
70,0.82,0.06,-0.52,0.97,12.42,-40.06,23.52,6.0
