,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.03,-0.1,1.16,1.16,0.11,1.05,-0.04,1.0
1,0.04,-0.08,1.13,1.13,-0.78,-0.57,-1.76,1.0
2,0.03,-0.1,1.15,1.16,-2.16,-1.56,-3.9,1.0
3,-0.09,-0.02,1.13,1.13,-4.99,-4.1,-12.09,1.0
4,-0.1,0.07,1.16,1.17,-10.23,-19.45,-22.84,1.0
5,-0.04,0.08,1.15,1.15,-12.14,-1.48,-26.51,1.0
6,-0.04,0.02,1.13,1.13,3.57,20.61,-14.12,1.0
7,-0.04,-0.04,1.13,1.13,16.7,29.4,0.33,1.0
8,0.07,-0.05,1.1,1.11,25.32,28.37,15.89,1.0
9,0.08,-0.06,1.11,1.12,27.51,27.37,20.57,1.0
10,0.03,-0.07,1.09,1.09,29.55,17.01,28.99,1.0
11,-0.02,-0.03,1.04,1.04,18.2,3.43,18.81,1.0
12,0.02,-0.09,1.03,1.04,2.08,-2.35,9.57,1.0
13,-0.05,-0.08,1.03,1.03,-19.17,-0.95,8.57,1.0
14,0.06,0.0,1.04,1.04,-23.71,-8.01,0.9,1.0
15,0.15,-0.02,1.12,1.13,-18.72,10.84,0.7,1.0
16,-0.07,-0.04,1.05,1.05,0.35,13.16,4.52,1.0
17,-0.11,-0.07,1.03,1.04,2.91,-8.97,-2.64,1.0
18,0.16,-0.08,1.0,1.02,-21.07,-4.18,1.23,1.0
19,0.06,-0.07,1.0,1.0,-41.6,-7.88,22.4,1.0
20,-0.14,-0.09,1.05,1.07,-27.75,-8.59,24.49,1.0
21,0.21,0.06,1.0,1.02,-19.19,-13.77,2.91,1.0
22,0.09,0.06,1.04,1.05,-24.84,-1.39,-3.45,1.0
23,-0.2,0.06,1.13,1.15,-37.49,6.85,-10.49,1.0
24,0.02,0.07,0.96,0.96,-81.35,15.98,-44.32,1.0
25,0.33,-0.07,0.92,0.98,-134.68,1.21,-42.51,1.0
26,0.55,-0.11,0.86,1.02,-151.04,-10.93,-14.22,1.0
27,-1.03,-1.82,-0.57,2.17,-190.3,3.68,15.63,1.0
28,0.53,0.62,0.72,1.09,-252.05,203.9,44.63,1.0
29,0.7,0.52,0.57,1.04,63.11,145.55,18.97,7.0
30,0.84,0.04,0.69,1.09,133.78,230.67,-81.09,7.0
31,0.95,0.35,1.07,1.47,-96.52,126.48,19.96,7.0
32,0.88,-0.01,-0.38,0.95,70.25,-2.1,78.79,7.0
33,0.88,0.12,-0.02,0.89,1.73,0.27,2.36,7.0
34,0.88,0.12,0.0,0.89,-0.1,0.18,-0.55,7.0
35,0.91,0.12,0.01,0.92,-0.35,-0.25,-0.53,7.0
36,0.88,0.12,0.01,0.89,-0.07,0.09,-0.7,7.0
37,0.87,0.12,0.0,0.88,-3.55,-2.29,-0.15,7.0
38,0.87,0.13,0.0,0.88,0.77,0.78,-1.02,7.0
39,0.88,0.12,0.0,0.89,1.15,1.35,-1.09,7.0
40,0.88,0.12,0.01,0.89,-4.7,-3.62,1.49,7.0
41,0.87,0.13,0.0,0.88,0.26,0.26,-0.62,7.0
42,0.88,0.12,0.0,0.89,2.13,2.05,-1.05,7.0
43,0.88,0.12,0.0,0.89,-0.1,0.23,-0.67,7.0
44,0.88,0.12,0.0,0.89,-0.16,0.14,-0.64,7.0
45,0.88,0.12,0.0,0.89,-0.14,0.18,-0.67,7.0
46,0.88,0.12,0.0,0.89,-0.16,0.18,-0.64,7.0
47,0.88,0.12,0.0,0.89,-0.17,0.21,-0.63,5.0
48,0.88,0.12,0.0,0.89,-0.13,0.2,-0.67,5.0
49,0.88,0.12,0.0,0.89,-0.13,0.11,-0.6,5.0
50,0.88,0.12,0.0,0.89,-0.29,0.29,-0.64,5.0
51,0.88,0.12,0.0,0.89,-0.07,0.16,-0.67,5.0
52,0.88,0.12,0.0,0.89,-0.1,0.16,-0.67,5.0
53,0.88,0.12,0.0,0.89,-0.16,0.18,-0.67,5.0
54,0.88,0.12,0.0,0.89,-0.17,0.24,-0.67,5.0
55,0.88,0.12,0.0,0.89,-0.17,0.19,-0.68,5.0
56,0.88,0.12,0.0,0.89,-0.15,0.21,-0.7,5.0
57,0.88,0.12,0.0,0.89,-0.23,0.15,-0.64,5.0
58,0.88,0.12,0.01,0.89,1.74,1.77,-0.57,5.0
59,0.87,0.13,0.0,0.88,-1.84,-1.11,-0.28,5.0
60,0.87,0.13,0.0,0.88,0.76,0.68,-0.66,5.0
61,0.88,0.12,0.01,0.89,1.47,1.46,-0.99,6.0
62,0.88,0.12,0.0,0.89,-0.13,0.21,-0.67,6.0
63,0.88,0.12,0.0,0.89,-0.17,0.18,-0.69,6.0
64,0.88,0.12,0.0,0.89,-0.15,0.21,-0.66,6.0
65,0.88,0.12,0.0,0.89,-0.07,0.11,-0.69,6.0
66,0.88,0.12,-0.0,0.89,0.34,-0.68,-0.54,6.0
67,0.93,-0.04,-0.06,0.94,-0.8,-5.39,6.98,6.0
68,0.83,0.08,-0.17,0.85,3.25,-30.3,19.58,6.0
69,0.73,0.12,-0.31,0.8,1.8,-74.67,22.28,6.0
