,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,-0.01,0.1,0.97,0.98,-1.26,-2.88,-17.65,1.0
1,-0.03,0.11,1.07,1.07,1.54,3.62,-28.03,1.0
2,-0.14,0.13,1.05,1.07,21.42,-0.34,-33.56,1.0
3,-0.02,0.13,0.95,0.95,31.47,9.41,-42.31,1.0
4,-0.01,0.04,0.95,0.95,-4.73,18.56,-37.77,1.0
5,-0.08,-0.09,1.01,1.01,-18.45,24.18,-1.36,1.0
6,-0.04,-0.05,0.94,0.95,-3.32,8.06,24.62,1.0
7,0.09,-0.03,1.0,1.0,8.59,16.49,31.11,1.0
8,0.06,-0.01,0.88,0.89,13.67,13.67,32.48,1.0
9,-0.09,-0.04,1.0,1.0,17.03,10.25,32.82,1.0
10,-0.01,0.03,0.98,0.98,58.33,16.72,21.9,1.0
11,0.08,0.04,0.89,0.89,51.7,26.34,-0.09,1.0
12,-0.09,-0.06,0.82,0.82,33.4,-3.2,2.47,1.0
13,0.09,0.01,0.85,0.85,14.81,-10.64,17.2,1.0
14,0.11,0.01,0.84,0.85,-5.28,-8.64,15.06,1.0
15,-0.03,0.03,0.92,0.92,-7.54,-4.94,15.94,1.0
16,-0.12,0.06,0.94,0.95,7.15,0.12,16.14,1.0
17,0.12,0.12,0.87,0.88,10.16,-3.01,2.19,1.0
18,0.04,0.02,0.74,0.74,-30.21,-11.05,1.47,1.0
19,-0.02,-0.04,0.8,0.81,-61.02,-26.69,12.34,1.0
20,0.1,0.01,0.82,0.83,-93.5,-19.2,19.36,1.0
21,0.08,-0.01,0.87,0.87,-131.57,-14.19,21.32,1.0
22,-0.04,-0.0,0.98,0.98,-135.27,-14.19,8.48,1.0
23,0.09,0.19,1.01,1.03,-95.81,7.76,-3.22,1.0
24,0.1,0.09,0.82,0.83,-111.75,65.54,-68.85,1.0
25,0.11,0.26,1.07,1.11,-35.82,184.73,-90.63,1.0
26,0.42,-0.09,0.27,0.5,-81.85,120.69,-41.18,1.0
27,0.51,0.07,0.3,0.6,8.66,122.7,-5.82,1.0
28,0.72,0.15,0.74,1.05,-44.23,148.74,-0.41,7.0
29,1.14,0.1,-0.94,1.48,-21.75,136.61,6.25,7.0
30,0.91,0.13,-0.06,0.92,-0.73,4.5,0.31,7.0
31,0.88,0.12,0.0,0.89,-0.18,0.27,-0.67,7.0
32,0.88,0.12,0.0,0.89,-0.21,-0.21,0.27,7.0
33,0.9,0.13,0.0,0.91,-0.01,-0.31,-0.56,7.0
34,0.88,0.12,0.0,0.89,-0.22,0.1,-0.53,7.0
35,0.88,0.12,0.0,0.89,-0.28,0.44,-1.13,7.0
36,0.88,0.13,0.01,0.89,-0.17,0.21,-0.78,7.0
37,0.88,0.13,0.0,0.89,-0.16,0.21,-0.67,7.0
38,0.88,0.12,0.0,0.89,-0.18,0.21,-0.72,7.0
39,0.88,0.13,0.0,0.89,-0.17,0.14,-0.7,7.0
40,0.88,0.13,0.0,0.89,-0.19,0.21,-0.67,7.0
41,0.88,0.12,0.0,0.89,-0.15,0.2,-0.7,7.0
42,0.88,0.12,0.0,0.89,-0.2,0.22,-0.67,5.0
43,0.88,0.12,0.0,0.89,-0.11,0.18,-0.67,5.0
44,0.88,0.12,0.0,0.89,-0.18,0.21,-0.69,5.0
45,0.88,0.12,0.0,0.89,-0.16,0.15,-0.68,5.0
46,0.88,0.13,0.0,0.89,-0.04,0.09,-0.69,5.0
47,0.88,0.12,0.0,0.89,-0.08,0.06,-0.64,5.0
48,0.88,0.12,-0.01,0.89,0.52,-1.05,-0.46,5.0
49,0.87,0.12,0.01,0.88,0.04,-0.94,-0.48,5.0
50,0.87,0.13,0.02,0.88,-0.16,-0.22,-0.67,5.0
51,0.87,0.12,-0.01,0.88,0.04,0.77,-0.73,5.0
52,0.87,0.12,0.01,0.88,-0.19,0.2,-0.62,5.0
53,0.87,0.12,0.0,0.88,-0.13,0.32,-0.67,5.0
54,0.87,0.12,0.0,0.88,-0.07,0.03,-0.68,5.0
55,0.87,0.12,0.02,0.88,0.25,-1.39,-0.57,5.0
56,0.87,0.09,-0.01,0.87,1.54,-4.36,-0.91,5.0
57,0.86,0.1,-0.07,0.87,2.22,-11.0,5.01,6.0
58,0.82,0.11,-0.25,0.87,5.06,-18.34,1.76,6.0
59,0.79,0.16,-0.2,0.83,11.03,-74.92,-3.08,6.0
60,0.69,0.07,0.1,0.7,11.71,-94.09,-6.22,6.0
61,0.52,0.01,0.23,0.57,13.68,-85.1,1.19,6.0
62,0.38,0.06,0.31,0.49,12.63,-77.61,3.66,6.0
63,0.26,0.04,0.45,0.53,9.94,-69.14,1.3,6.0
64,0.18,0.03,0.47,0.51,10.73,-64.51,3.07,6.0
65,0.14,0.04,0.6,0.62,12.14,-71.07,1.34,6.0
66,0.08,0.01,0.81,0.81,11.56,-68.2,1.65,6.0
67,0.05,0.01,0.94,0.94,9.78,-61.45,2.88,6.0
68,0.03,0.02,1.08,1.08,7.2,-46.37,-1.0,6.0
69,0.01,0.0,1.16,1.16,4.7,-29.88,-0.44,6.0
70,0.01,0.03,1.17,1.17,2.3,-14.47,-0.55,6.0
71,0.01,0.03,1.15,1.15,0.99,-7.94,-1.19,6.0
72,0.01,-0.01,1.13,1.13,1.36,-6.74,-0.29,6.0
73,0.01,0.02,1.2,1.2,0.46,-4.52,-0.63,6.0
