,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.03,0.14,1.29,1.3,-20.99,-4.96,-6.34,1.0
1,0.03,0.16,1.32,1.33,-4.36,1.13,-6.01,1.0
2,0.02,0.13,1.29,1.3,0.68,5.29,-5.53,1.0
3,0.01,0.15,1.29,1.3,-0.58,5.42,-7.33,1.0
4,0.02,0.14,1.25,1.26,1.51,4.04,-8.55,1.0
5,0.0,0.12,1.25,1.26,-4.31,3.3,-3.72,1.0
6,0.02,0.12,1.27,1.27,-1.8,4.7,0.91,1.0
7,0.01,0.11,1.29,1.29,1.8,8.85,2.16,1.0
8,0.06,0.1,1.31,1.32,7.05,14.95,-0.54,1.0
9,0.1,0.09,1.29,1.3,22.94,14.05,-5.32,1.0
10,0.06,0.09,1.23,1.23,35.84,9.53,-11.38,1.0
11,0.03,0.12,1.22,1.23,38.65,6.68,-24.71,1.0
12,0.02,0.1,1.16,1.17,22.15,5.26,-42.86,1.0
13,-0.02,0.08,1.21,1.21,12.32,-5.04,-47.28,1.0
14,0.06,0.08,1.17,1.17,19.67,-2.35,-42.96,1.0
15,-0.12,0.05,1.18,1.19,20.75,2.41,-36.59,1.0
16,-0.14,0.04,1.21,1.22,12.6,2.01,-23.02,1.0
17,-0.14,-0.03,1.22,1.23,1.86,-5.44,-10.48,1.0
18,0.02,-0.04,1.18,1.18,11.94,-13.19,20.57,1.0
19,-0.07,-0.02,1.17,1.17,-5.53,-10.77,40.3,1.0
20,-0.0,0.01,1.22,1.22,-25.27,3.81,45.12,1.0
21,-0.01,-0.02,1.15,1.15,-23.81,10.53,49.61,1.0
22,-0.06,0.04,1.15,1.16,-33.92,-9.83,33.29,1.0
23,0.04,0.05,1.24,1.25,-52.34,-8.86,9.71,1.0
24,0.06,0.05,1.24,1.25,-24.93,-8.88,-2.11,1.0
25,-0.06,0.0,1.18,1.18,-11.29,-7.74,7.85,1.0
26,0.12,0.11,1.24,1.25,-11.46,-1.72,7.89,1.0
27,-0.1,0.01,1.11,1.12,-1.16,5.91,5.71,1.0
28,0.02,0.02,1.18,1.18,-30.39,-6.48,6.32,1.0
29,0.18,0.11,1.36,1.37,-19.15,-3.4,-5.35,1.0
30,0.0,-0.0,1.21,1.21,-7.13,-0.05,2.04,1.0
31,0.01,0.02,1.22,1.22,-11.85,6.37,12.66,1.0
32,0.21,0.09,1.21,1.23,-21.09,-3.86,7.27,1.0
33,-0.16,-0.06,1.1,1.12,-36.02,-20.94,13.54,1.0
34,0.01,-0.03,1.18,1.18,-51.1,-20.55,13.14,1.0
35,0.05,-0.03,1.18,1.18,-50.03,-11.36,16.17,1.0
36,-0.07,-0.15,1.15,1.16,-40.79,1.24,17.26,1.0
37,0.19,-0.07,1.21,1.23,-76.41,50.32,17.76,1.0
38,0.17,-0.1,1.08,1.1,-109.82,91.57,22.91,1.0
39,0.32,-0.01,0.97,1.03,-55.91,127.43,-76.44,1.0
40,0.42,-0.02,0.73,0.85,-67.86,128.62,-23.16,1.0
41,0.72,0.13,0.87,1.14,-33.64,196.59,-13.58,7.0
42,1.17,0.2,0.81,1.44,-47.66,248.54,-14.15,7.0
43,1.19,0.16,-0.19,1.21,-2.45,16.27,-0.59,7.0
44,0.89,0.12,-0.0,0.9,-0.2,0.51,-0.7,7.0
45,0.89,0.12,0.0,0.89,-0.16,0.17,-0.7,7.0
46,0.89,0.12,0.0,0.89,-0.13,0.17,-0.76,7.0
47,0.89,0.12,0.0,0.89,-0.91,-0.47,-0.58,7.0
48,0.88,0.13,0.0,0.89,-0.86,-0.33,-0.68,7.0
49,0.88,0.13,-0.0,0.89,-0.76,-0.25,-0.57,7.0
50,0.89,0.12,0.01,0.89,1.09,1.15,-0.92,7.0
51,0.88,0.12,0.0,0.89,-0.1,0.23,-0.73,7.0
52,0.89,0.12,0.0,0.89,-0.16,0.17,-0.7,7.0
53,0.88,0.12,0.0,0.89,-0.12,0.21,-0.71,7.0
54,0.88,0.12,0.0,0.89,-0.15,0.18,-0.7,5.0
55,0.88,0.12,0.0,0.89,-0.12,0.2,-0.7,5.0
56,0.89,0.12,0.0,0.89,-0.14,0.21,-0.69,5.0
57,0.88,0.12,0.0,0.89,-0.16,0.23,-0.7,5.0
58,0.88,0.12,0.0,0.89,-0.19,-0.08,-0.7,5.0
59,0.89,0.12,0.0,0.89,-0.1,0.08,-0.69,5.0
60,0.89,0.12,-0.0,0.89,-0.05,0.17,-0.74,5.0
61,0.88,0.12,0.0,0.89,-0.23,-0.85,-0.62,5.0
62,0.88,0.12,0.0,0.89,1.32,0.26,-0.79,5.0
63,0.88,0.12,-0.01,0.89,-0.62,-2.67,-0.67,6.0
64,0.87,0.11,-0.06,0.88,2.0,-10.73,-0.99,6.0
65,0.85,0.08,-0.1,0.86,5.14,-23.02,1.59,6.0
66,0.81,0.06,-0.25,0.85,18.77,-59.65,9.47,6.0
67,0.69,0.14,-0.09,0.71,12.87,-92.12,8.83,6.0
68,0.59,0.06,0.11,0.61,14.56,-114.46,7.25,6.0
69,0.42,0.09,0.38,0.57,16.34,-112.97,4.01,6.0
70,0.26,0.05,0.63,0.69,14.89,-95.59,3.65,6.0
