,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.01,-0.02,1.02,1.02,-0.9,4.93,-0.14,1.0
1,0.01,-0.03,1.0,1.0,-0.64,3.47,-0.12,1.0
2,0.01,-0.03,1.0,1.0,-0.27,1.13,-0.02,1.0
3,0.01,-0.03,1.01,1.01,0.19,-1.54,0.11,1.0
4,0.0,-0.04,1.01,1.01,0.33,-3.26,0.56,1.0
5,-0.04,-0.16,1.03,1.05,-6.05,-1.53,4.72,1.0
6,0.05,-0.14,1.01,1.02,-11.51,0.5,-0.21,1.0
7,0.03,-0.14,1.02,1.03,-9.85,0.52,-2.42,1.0
8,0.03,-0.13,1.03,1.04,-5.16,4.85,0.34,1.0
9,0.01,-0.1,1.03,1.04,-1.9,7.73,3.07,1.0
10,0.01,-0.09,1.01,1.02,2.48,6.35,1.15,1.0
11,0.04,-0.07,1.01,1.01,6.48,1.61,-0.03,1.0
12,0.02,-0.08,1.0,1.01,5.59,-3.21,-4.66,1.0
13,0.02,-0.1,1.02,1.03,3.77,-1.72,-3.2,1.0
14,0.05,-0.09,1.01,1.02,-0.12,0.66,-0.08,1.0
15,0.01,-0.06,1.03,1.04,-2.6,1.25,-4.29,1.0
16,-0.0,-0.1,1.02,1.02,-4.02,0.74,-5.74,1.0
17,-0.01,-0.09,1.02,1.03,-7.43,-0.48,-0.86,1.0
18,0.03,-0.08,1.01,1.01,-7.4,-1.8,6.62,1.0
19,0.03,-0.03,1.04,1.04,-3.25,3.5,4.86,1.0
20,-0.1,-0.09,1.06,1.07,-1.64,16.0,4.06,1.0
21,-0.1,-0.05,1.0,1.01,0.99,18.54,2.12,1.0
22,0.01,-0.06,0.95,0.96,-2.84,6.91,-4.08,1.0
23,0.23,0.02,0.88,0.91,-5.17,-4.31,-11.91,1.0
24,0.12,-0.05,1.0,1.01,-8.52,-4.22,-12.18,1.0
25,0.02,-0.06,1.01,1.01,3.1,0.38,-2.03,1.0
26,-0.02,-0.06,0.96,0.96,29.45,13.11,7.2,1.0
27,-0.21,-0.12,0.89,0.92,36.6,-15.07,7.36,1.0
28,-0.14,-0.17,0.99,1.02,-2.81,-17.92,-0.5,1.0
29,0.0,-0.06,0.97,0.97,-30.43,-0.27,5.27,1.0
30,0.2,-0.01,0.98,1.0,-0.28,10.06,10.67,1.0
31,0.28,0.03,0.96,1.0,4.47,17.67,7.68,1.0
32,0.13,-0.04,0.98,0.99,-8.02,19.8,-4.78,1.0
33,-0.13,-0.1,0.99,1.0,7.72,9.14,-7.77,1.0
34,-0.17,-0.1,0.93,0.95,-3.66,-4.03,-10.32,1.0
35,0.06,-0.07,0.9,0.9,-12.36,-18.5,13.13,1.0
36,-0.0,0.0,0.94,0.94,-9.72,-20.21,8.95,1.0
37,-0.05,0.07,0.99,0.99,-9.91,4.41,-25.47,1.0
38,0.02,-0.03,0.89,0.89,27.1,15.32,-26.5,1.0
39,0.01,-0.03,0.9,0.9,17.56,11.45,8.27,1.0
40,-0.05,-0.09,0.89,0.89,7.31,7.83,22.71,1.0
41,-0.04,-0.0,0.91,0.91,-1.56,-1.72,18.17,1.0
42,-0.01,0.15,1.13,1.14,40.72,14.48,-14.88,1.0
43,0.01,-0.24,0.99,1.02,94.99,55.55,-8.12,1.0
44,0.17,-0.27,0.87,0.93,28.34,51.06,-4.74,1.0
45,0.16,-0.08,1.08,1.09,15.22,36.29,-0.19,1.0
46,0.11,-0.11,1.1,1.11,61.95,99.42,27.31,1.0
47,0.02,-0.06,0.63,0.63,126.97,127.6,86.92,1.0
48,0.71,-0.23,0.34,0.82,198.93,201.94,21.02,1.0
49,1.36,0.09,0.58,1.49,-8.68,249.38,-63.86,1.0
50,2.89,0.86,0.96,3.16,-198.32,-248.46,8.97,1.0
51,0.93,-0.04,0.78,1.22,188.98,84.64,9.95,7.0
52,1.05,-0.1,-0.35,1.11,-252.08,-10.49,30.34,7.0
53,0.8,-0.22,-0.84,1.18,56.73,68.52,-19.46,7.0
54,0.8,0.41,0.29,0.94,-14.38,10.49,12.09,7.0
55,0.88,0.1,-0.07,0.89,9.4,4.63,-1.75,7.0
56,0.92,0.1,-0.12,0.93,-0.35,0.23,0.05,7.0
57,0.92,0.1,-0.11,0.93,-0.17,0.89,-0.04,7.0
58,0.91,0.1,-0.11,0.93,-0.15,0.95,-0.02,7.0
59,0.91,0.1,-0.11,0.93,-0.21,0.96,-0.02,7.0
60,0.91,0.1,-0.11,0.93,-0.18,0.99,-0.01,7.0
61,0.91,0.1,-0.11,0.93,-0.22,0.99,0.02,7.0
62,0.91,0.1,-0.11,0.93,-0.2,1.0,-0.01,7.0
63,0.91,0.1,-0.11,0.93,-0.22,1.0,-0.03,7.0
64,0.91,0.1,-0.11,0.93,-0.2,1.03,-0.02,7.0
65,0.91,0.1,-0.11,0.93,-0.22,0.97,-0.05,7.0
66,0.91,0.1,-0.11,0.93,-0.19,1.0,0.0,7.0
67,0.91,0.1,-0.11,0.93,-0.2,0.97,0.02,7.0
68,0.91,0.1,-0.11,0.93,0.33,0.99,-0.08,7.0
69,0.91,0.1,-0.12,0.92,-3.28,-1.29,0.21,7.0
70,0.91,0.1,-0.1,0.93,0.36,1.24,-0.12,7.0
71,0.91,0.1,-0.11,0.92,-0.09,1.26,-0.03,7.0
72,0.91,0.1,-0.11,0.92,-0.17,0.81,0.08,7.0
73,0.91,0.1,-0.11,0.92,-0.05,1.1,0.1,7.0
74,0.91,0.1,-0.11,0.92,-0.07,0.94,0.15,7.0
75,0.91,0.1,-0.11,0.92,-0.28,0.95,-0.09,7.0
76,0.91,0.1,-0.11,0.92,-0.36,1.14,-0.12,7.0
77,0.91,0.1,-0.11,0.92,-0.24,1.0,-0.01,7.0
78,0.91,0.1,-0.11,0.92,-0.19,1.0,0.0,7.0
79,0.91,0.1,-0.11,0.92,-0.12,1.01,-0.04,7.0
80,0.91,0.1,-0.11,0.92,-0.1,0.99,0.01,7.0
81,0.91,0.1,-0.11,0.92,-0.15,0.99,-0.03,7.0
82,0.91,0.1,-0.11,0.92,-0.15,1.0,-0.01,7.0
83,0.91,0.1,-0.11,0.92,-0.13,1.07,-0.04,5.0
84,0.91,0.1,-0.11,0.92,-0.21,1.07,0.02,5.0
85,0.91,0.1,-0.11,0.92,-0.27,1.03,-0.02,5.0
86,0.91,0.1,-0.11,0.92,-0.19,1.0,0.0,5.0
87,0.91,0.1,-0.11,0.92,-0.19,1.13,-0.07,5.0
88,0.91,0.1,-0.11,0.92,-0.28,1.16,-0.01,5.0
89,0.91,0.1,-0.11,0.92,-0.21,0.87,-0.01,5.0
90,0.91,0.1,-0.11,0.92,-0.28,1.0,-0.01,5.0
91,0.91,0.1,-0.11,0.92,-0.25,0.99,-0.01,5.0
92,0.91,0.1,-0.11,0.92,-0.21,1.07,-0.01,5.0
93,0.91,0.1,-0.11,0.92,-0.16,1.11,-0.02,5.0
94,0.91,0.1,-0.11,0.92,-0.11,1.04,-0.01,5.0
95,0.91,0.1,-0.11,0.92,-0.27,0.91,-0.01,5.0
