,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.01,-0.02,1.16,1.16,-12.07,-8.44,3.2,1.0
1,0.03,-0.08,1.21,1.21,-16.14,-4.9,0.7,1.0
2,0.03,-0.06,1.2,1.2,-0.12,-1.26,4.49,1.0
3,-0.11,0.04,1.18,1.19,3.25,-4.46,6.56,1.0
4,-0.05,0.19,1.23,1.24,8.7,-10.5,-25.17,1.0
5,0.01,0.1,1.2,1.21,23.12,9.06,-43.18,1.0
6,-0.06,0.09,1.1,1.11,26.36,29.43,0.66,1.0
7,-0.07,0.09,1.07,1.08,14.25,20.42,-3.09,1.0
8,-0.04,-0.01,1.05,1.06,-10.99,14.18,5.99,1.0
9,0.04,-0.1,1.06,1.07,-28.08,9.64,27.12,1.0
10,0.06,0.0,1.07,1.07,-23.27,10.28,42.37,1.0
11,0.14,0.06,1.02,1.03,-12.13,8.0,30.13,1.0
12,-0.02,-0.02,1.03,1.03,-21.27,13.15,0.75,1.0
13,0.12,-0.11,0.9,0.92,-41.74,27.58,-6.24,1.0
14,-0.06,-0.07,0.89,0.9,-44.39,-11.22,14.51,1.0
15,0.1,0.15,0.93,0.94,-51.05,-19.94,-3.94,1.0
16,0.17,0.2,0.98,1.01,-112.45,-7.49,-31.37,1.0
17,0.26,-0.02,0.98,1.01,-157.47,7.92,-20.2,1.0
18,-1.03,-1.26,1.46,2.19,-167.36,118.12,-38.95,1.0
19,-0.1,-0.15,0.46,0.5,-144.37,54.5,-90.39,1.0
20,0.97,0.18,1.06,1.45,-185.63,154.22,6.22,7.0
21,0.68,0.32,0.95,1.21,-46.32,181.53,9.48,7.0
22,1.48,0.98,-0.94,2.01,139.05,208.61,14.01,7.0
23,0.95,0.12,-0.11,0.96,7.44,9.53,-2.4,7.0
24,0.89,0.12,-0.0,0.9,0.08,0.4,-0.7,7.0
25,0.89,0.12,0.0,0.89,-0.15,0.19,-0.67,7.0
26,0.89,0.12,0.0,0.89,-0.17,0.19,-0.67,7.0
27,0.89,0.12,0.0,0.9,-0.33,-0.39,-0.79,7.0
28,0.88,0.14,0.0,0.89,-1.95,-0.98,-0.6,7.0
29,0.87,0.15,0.02,0.88,-7.78,-2.85,-1.55,7.0
30,0.88,0.14,0.01,0.89,-0.94,-0.11,-0.96,7.0
31,0.89,0.12,0.0,0.89,4.13,2.76,-0.92,7.0
32,0.89,0.12,0.0,0.89,-0.03,0.26,-0.73,7.0
33,0.89,0.12,0.0,0.89,-0.13,0.17,-0.68,7.0
34,0.88,0.13,0.0,0.89,-0.18,0.18,-0.7,7.0
35,0.88,0.12,0.0,0.89,-0.18,0.2,-0.67,7.0
36,0.88,0.13,0.0,0.89,-0.14,0.19,-0.67,7.0
37,0.88,0.12,0.0,0.89,-0.17,0.19,-0.68,7.0
38,0.88,0.12,0.0,0.89,-0.17,0.2,-0.7,5.0
39,0.88,0.12,0.0,0.89,-0.14,0.21,-0.68,5.0
40,0.89,0.12,0.0,0.89,-0.14,0.18,-0.69,5.0
41,0.88,0.12,0.0,0.89,-0.15,0.21,-0.69,5.0
42,0.88,0.12,0.0,0.89,-0.17,0.21,-0.71,5.0
43,0.88,0.12,0.0,0.89,-0.15,0.21,-0.72,5.0
44,0.89,0.12,0.0,0.89,-0.15,0.15,-0.64,5.0
45,0.88,0.12,0.0,0.89,-0.17,0.18,-0.69,5.0
46,0.88,0.12,0.0,0.89,-0.15,0.2,-0.7,5.0
47,0.88,0.12,0.0,0.89,-0.12,0.19,-0.67,5.0
48,0.88,0.12,0.0,0.89,-0.17,0.2,-0.65,5.0
49,0.89,0.13,0.0,0.89,-0.17,0.11,-0.67,5.0
50,0.89,0.12,0.0,0.89,-0.17,0.22,-0.7,5.0
51,0.88,0.12,0.0,0.89,-0.2,0.11,-0.63,5.0
52,0.88,0.13,0.0,0.89,-2.03,-1.47,-0.47,5.0
53,0.88,0.13,0.0,0.89,-0.25,0.05,-0.62,5.0
54,0.89,0.13,0.0,0.89,1.36,1.58,-0.77,6.0
55,0.88,0.12,0.0,0.89,-0.14,0.21,-0.7,6.0
56,0.89,0.13,0.0,0.89,-0.18,0.18,-0.7,6.0
57,0.89,0.12,0.0,0.89,-0.14,0.24,-0.7,6.0
58,0.88,0.12,0.0,0.89,0.19,-0.11,-0.64,6.0
59,0.89,0.12,-0.01,0.9,0.42,-1.11,-0.36,6.0
60,0.87,0.07,-0.2,0.89,4.32,-16.74,13.19,6.0
61,0.82,0.12,-0.18,0.84,7.75,-40.21,1.26,6.0
62,0.76,0.15,-0.11,0.78,12.9,-72.81,1.3,6.0
63,0.63,0.09,0.11,0.65,14.66,-85.63,0.91,6.0
