,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.02,-0.02,1.16,1.16,1.87,-0.6,0.23,1.0
1,0.01,0.0,1.17,1.17,0.88,0.44,0.24,1.0
2,0.01,-0.01,1.14,1.14,-0.95,0.32,-0.35,1.0
3,0.01,-0.01,1.14,1.14,1.12,-1.34,0.93,1.0
4,0.01,-0.0,1.16,1.16,0.34,-3.16,0.96,1.0
5,0.01,0.0,1.18,1.18,1.2,-3.04,1.5,1.0
6,0.01,0.01,1.19,1.19,0.37,-1.59,1.07,1.0
7,0.01,0.02,1.19,1.19,0.36,1.03,-0.13,1.0
8,0.01,0.01,1.19,1.19,-0.17,2.45,-1.39,1.0
9,0.01,0.01,1.17,1.17,0.47,2.86,-1.57,1.0
10,-0.02,0.02,1.18,1.18,5.71,4.62,-4.82,1.0
11,-0.06,0.22,1.14,1.16,10.94,-1.67,-16.52,1.0
12,0.11,0.13,1.09,1.1,2.99,-1.19,-47.09,1.0
13,-0.17,-0.06,1.11,1.12,-11.57,18.53,-27.01,1.0
14,-0.11,0.01,1.04,1.05,-18.9,-2.93,8.22,1.0
15,-0.05,0.16,1.08,1.09,-15.6,-9.88,2.87,1.0
16,-0.02,0.06,1.07,1.07,-18.45,8.61,-5.59,1.0
17,0.06,-0.05,1.0,1.01,-29.16,10.11,22.01,1.0
18,0.01,-0.07,1.08,1.08,-41.41,23.29,51.91,1.0
19,0.08,0.01,0.99,1.0,-32.33,8.97,70.8,1.0
20,-0.1,-0.04,0.98,0.98,-27.48,3.61,51.77,1.0
21,-0.02,0.01,0.98,0.98,-19.04,17.06,16.2,1.0
22,-0.02,-0.07,0.92,0.92,18.32,8.96,14.48,1.0
23,0.05,0.01,0.94,0.94,3.4,-0.14,5.54,1.0
24,0.14,0.12,0.9,0.92,31.12,2.93,-15.05,1.0
25,0.01,0.08,0.91,0.92,30.77,-6.76,-25.21,1.0
26,0.17,0.06,0.87,0.89,-0.42,6.17,-27.25,1.0
27,0.13,0.21,0.87,0.9,-29.26,5.13,-67.19,1.0
28,0.09,0.09,0.95,0.96,-27.3,-10.24,-93.81,1.0
29,0.07,-0.14,1.05,1.06,-46.05,-15.18,-71.5,1.0
30,0.27,-0.24,1.04,1.1,-157.03,-17.98,-63.26,1.0
31,0.13,-0.27,0.87,0.92,-186.83,-17.31,-17.53,1.0
32,0.39,-0.16,0.99,1.07,-246.15,21.65,16.61,7.0
33,0.96,0.2,1.02,1.42,-176.33,248.54,34.12,7.0
34,1.5,1.25,1.48,2.45,247.94,248.54,232.2,7.0
35,0.9,0.42,1.46,1.76,-74.73,208.6,71.21,7.0
36,1.03,-0.08,-0.54,1.17,51.52,-65.94,-55.78,7.0
37,0.87,0.07,-0.25,0.9,1.95,0.82,-13.99,7.0
38,0.88,0.12,-0.0,0.89,0.25,0.12,-1.05,7.0
39,0.88,0.12,0.0,0.89,-0.13,0.17,-0.7,7.0
40,0.88,0.13,0.0,0.89,-0.15,0.18,-0.64,7.0
41,0.88,0.12,0.0,0.89,-0.17,0.23,-0.63,7.0
42,0.89,0.12,0.0,0.9,-0.77,-0.71,-0.23,7.0
43,0.88,0.14,0.0,0.89,-0.29,0.06,-0.52,7.0
44,0.88,0.13,0.0,0.89,-2.83,-1.26,-0.34,7.0
45,0.87,0.16,0.0,0.88,-3.64,-1.34,-0.25,7.0
46,0.87,0.17,0.03,0.88,11.78,5.0,-2.89,7.0
47,0.88,0.13,0.0,0.89,1.8,1.19,-1.03,7.0
48,0.88,0.13,0.0,0.89,-0.08,0.24,-0.68,7.0
49,0.88,0.13,0.0,0.89,-0.12,0.17,-0.64,7.0
50,0.88,0.13,0.0,0.89,-0.15,0.15,-0.67,7.0
51,0.88,0.13,-0.0,0.89,-0.16,0.2,-0.69,7.0
52,0.88,0.13,0.0,0.89,-0.17,0.21,-0.69,5.0
53,0.88,0.13,0.0,0.89,-0.15,0.17,-0.66,5.0
54,0.88,0.13,0.0,0.89,-0.13,0.22,-0.7,5.0
55,0.88,0.13,0.0,0.89,-0.16,0.19,-0.66,5.0
56,0.88,0.13,0.0,0.89,-0.17,0.15,-0.71,5.0
57,0.88,0.13,0.0,0.89,-0.13,0.21,-0.65,5.0
58,0.88,0.13,0.0,0.89,-0.18,0.14,-0.66,5.0
59,0.88,0.12,0.0,0.89,-0.23,0.08,-0.65,5.0
60,0.88,0.13,0.0,0.89,-0.1,0.13,-0.7,5.0
61,0.88,0.12,0.0,0.89,-0.11,0.01,-0.6,5.0
62,0.88,0.13,0.0,0.89,-0.08,0.11,-0.59,5.0
63,0.88,0.13,0.0,0.89,-0.13,-0.08,-0.6,5.0
64,0.88,0.12,0.0,0.89,-0.16,0.03,-0.76,5.0
65,0.88,0.13,0.0,0.89,-0.08,0.32,-0.85,6.0
66,0.88,0.12,0.0,0.89,0.34,-0.16,-0.67,6.0
67,0.93,0.04,-0.13,0.94,-0.08,-7.89,2.66,6.0
68,0.86,0.15,-0.14,0.88,8.23,-29.72,11.45,6.0
