,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.03,-0.14,0.96,0.97,-0.56,1.71,0.46,1.0
1,0.03,-0.14,0.96,0.97,-0.24,0.74,-0.3,1.0
2,0.03,-0.14,0.97,0.98,-0.41,0.83,-0.36,1.0
3,0.03,-0.14,0.96,0.97,-0.25,1.06,-0.38,1.0
4,0.03,-0.14,0.97,0.98,-0.2,0.63,0.05,1.0
5,0.03,-0.14,0.97,0.98,-0.34,0.9,-0.27,1.0
6,-0.07,-0.13,0.91,0.92,-3.54,-3.51,-0.59,1.0
7,0.27,-0.07,0.97,1.01,-17.1,-10.8,-9.85,1.0
8,-0.03,-0.2,0.99,1.01,-10.37,-5.37,-10.48,1.0
9,0.02,-0.14,1.0,1.01,-1.41,-4.83,-25.11,1.0
10,0.04,-0.12,0.99,1.0,11.49,0.48,-29.05,1.0
11,-0.05,-0.17,0.97,0.99,18.54,-2.71,-23.76,1.0
12,-0.05,-0.14,0.98,0.99,11.88,-2.77,-20.17,1.0
13,-0.01,-0.14,0.96,0.96,-6.46,-0.36,-25.5,1.0
14,0.02,-0.22,0.99,1.01,-29.84,3.93,-10.77,1.0
15,0.05,-0.26,1.02,1.05,-11.58,12.76,18.34,1.0
16,0.06,-0.25,1.0,1.03,0.93,22.41,44.73,1.0
17,0.16,-0.17,0.9,0.93,0.14,3.58,45.22,1.0
18,0.14,-0.26,0.93,0.98,-27.48,-16.28,45.69,1.0
19,-0.03,-0.32,1.06,1.11,-47.91,-28.08,54.59,1.0
20,0.14,-0.15,0.95,0.97,-39.14,-33.2,37.23,1.0
21,0.19,-0.17,0.96,0.99,-90.31,-35.88,6.25,1.0
22,0.03,-0.37,1.03,1.09,-151.03,-25.03,9.89,1.0
23,0.04,-0.32,0.96,1.01,-95.07,5.93,-10.76,1.0
24,0.09,-0.19,0.89,0.91,-93.29,2.77,8.11,1.0
25,0.02,-0.09,1.06,1.06,-107.96,-8.21,25.15,1.0
26,0.0,0.14,1.17,1.18,-63.32,54.39,22.36,1.0
27,0.1,0.04,0.91,0.92,-11.84,99.49,-24.5,1.0
28,0.27,-0.04,0.65,0.71,-31.02,120.54,-17.55,1.0
29,0.54,-0.0,0.89,1.04,-51.1,168.23,-1.14,7.0
30,1.11,0.13,0.79,1.37,-39.94,249.38,-5.09,7.0
31,1.62,0.23,-0.51,1.72,-9.29,38.71,12.22,7.0
32,0.94,0.1,-0.12,0.95,-0.41,1.92,0.22,7.0
33,0.9,0.09,-0.11,0.91,-0.25,0.99,-0.08,7.0
34,0.9,0.09,-0.11,0.91,-0.19,1.0,-0.07,7.0
35,0.9,0.09,-0.11,0.91,-0.2,1.0,-0.08,7.0
36,0.95,0.08,-0.11,0.96,-1.58,-1.0,-10.15,7.0
37,0.88,0.1,-0.11,0.9,-1.57,-0.15,0.21,7.0
38,0.89,0.09,-0.11,0.9,1.02,1.68,-0.32,7.0
39,0.9,0.09,-0.1,0.91,2.27,3.35,-0.46,7.0
40,0.89,0.09,-0.11,0.9,-0.15,1.16,-0.06,7.0
41,0.89,0.09,-0.11,0.9,-0.2,1.07,-0.04,7.0
42,0.89,0.09,-0.11,0.9,-0.22,1.07,-0.04,7.0
43,0.89,0.09,-0.11,0.9,-0.21,1.07,-0.08,7.0
44,0.89,0.09,-0.11,0.91,-0.2,1.04,-0.05,7.0
45,0.89,0.09,-0.11,0.91,-0.22,1.0,-0.06,7.0
46,0.89,0.09,-0.11,0.9,-0.2,1.04,-0.06,5.0
47,0.89,0.09,-0.11,0.91,-0.2,1.04,-0.07,5.0
48,0.89,0.09,-0.11,0.91,-0.19,1.02,-0.04,5.0
49,0.89,0.09,-0.11,0.9,-0.25,1.04,-0.08,5.0
50,0.89,0.09,-0.11,0.91,-0.19,1.04,-0.07,5.0
51,0.89,0.09,-0.11,0.91,-0.22,1.07,-0.03,5.0
52,0.89,0.09,-0.11,0.91,-0.22,1.05,-0.07,5.0
53,0.9,0.09,-0.11,0.91,-0.22,1.01,-0.03,5.0
54,0.89,0.09,-0.11,0.9,-0.2,1.02,-0.04,5.0
55,0.89,0.09,-0.11,0.9,-0.41,1.0,0.04,5.0
56,0.89,0.09,-0.11,0.9,-1.3,-0.09,0.08,5.0
57,0.89,0.09,-0.11,0.9,0.11,1.08,-0.06,5.0
58,0.89,0.09,-0.11,0.9,-0.25,0.53,-0.04,5.0
59,0.89,0.09,-0.11,0.9,-0.09,0.68,-0.01,5.0
60,0.89,0.09,-0.1,0.9,-0.01,0.92,-0.01,5.0
61,0.89,0.09,-0.11,0.9,-0.2,1.1,-0.01,5.0
62,0.89,0.09,-0.11,0.9,-0.28,1.13,-0.09,5.0
63,0.89,0.09,-0.11,0.9,-0.25,1.05,-0.08,5.0
64,0.89,0.09,-0.14,0.9,1.24,0.06,-0.04,6.0
65,0.88,0.09,-0.09,0.89,0.73,-0.4,0.15,6.0
66,0.91,0.09,-0.21,0.94,0.79,11.83,-3.42,6.0
67,0.89,0.08,-0.14,0.91,0.26,-0.32,0.08,6.0
68,0.87,0.04,-0.35,0.94,2.61,-10.85,2.43,6.0
69,0.84,0.12,-0.11,0.86,8.45,-41.07,4.88,6.0
70,0.75,0.07,-0.19,0.78,11.02,-65.22,8.6,6.0
71,0.67,0.03,-0.09,0.68,13.64,-78.46,4.0,6.0
