,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.04,-0.1,1.13,1.14,-1.56,-2.22,-1.27,1.0
1,0.03,-0.1,1.12,1.13,1.26,-0.2,-2.4,1.0
2,0.03,-0.1,1.13,1.14,-1.0,-2.49,-3.31,1.0
3,0.03,-0.11,1.15,1.15,-0.91,-2.44,-4.55,1.0
4,0.03,-0.12,1.13,1.14,-1.47,-1.08,-6.3,1.0
5,-0.13,-0.07,1.07,1.08,-5.11,-4.06,-15.81,1.0
6,-0.05,0.06,1.15,1.15,-1.05,-26.21,-18.6,1.0
7,-0.01,0.04,1.13,1.13,-20.92,-6.0,-23.95,1.0
8,-0.05,-0.04,1.12,1.12,-9.52,16.44,-3.88,1.0
9,-0.01,-0.05,1.07,1.07,-5.05,20.5,11.65,1.0
10,-0.04,-0.1,1.07,1.08,2.85,19.23,26.24,1.0
11,0.06,-0.04,1.08,1.09,0.9,22.66,33.94,1.0
12,0.07,0.02,1.05,1.05,7.33,15.04,32.62,1.0
13,-0.04,-0.02,1.0,1.0,11.64,-2.2,27.24,1.0
14,0.05,0.02,1.01,1.01,-4.86,2.51,5.96,1.0
15,0.04,0.01,0.99,0.99,-12.45,3.46,-3.18,1.0
16,-0.03,0.01,1.0,1.0,-21.58,0.33,-4.79,1.0
17,0.1,0.08,1.02,1.03,-16.32,-3.28,-12.15,1.0
18,-0.01,0.01,1.04,1.04,-9.27,-0.34,-9.69,1.0
19,-0.2,-0.04,0.98,1.0,7.72,-11.86,2.1,1.0
20,0.1,0.07,0.97,0.98,2.67,-7.13,-3.53,1.0
21,0.09,-0.01,0.91,0.91,-10.75,-0.35,14.03,1.0
22,0.0,-0.1,0.99,1.0,-23.74,3.74,32.7,1.0
23,0.04,0.01,0.97,0.97,-20.45,2.67,24.18,1.0
24,0.12,0.07,1.03,1.04,-18.68,0.3,-1.97,1.0
25,-0.26,-0.02,1.11,1.14,-6.14,10.06,4.5,1.0
26,-0.13,0.18,0.91,0.94,-52.96,6.04,-11.87,1.0
27,0.34,0.04,0.91,0.97,-157.64,6.5,-47.99,1.0
28,0.55,-0.03,0.94,1.09,-206.5,0.53,-30.57,1.0
29,-0.46,0.03,1.0,1.1,-190.05,19.95,-9.27,1.0
30,0.64,-0.54,0.23,0.87,95.22,227.7,-111.52,7.0
31,0.81,-0.28,0.48,0.98,-30.8,144.74,-96.67,7.0
32,1.4,-1.82,-0.94,2.48,-216.73,105.51,-79.06,7.0
33,1.35,0.22,0.08,1.37,30.04,-27.17,135.78,7.0
34,0.94,0.06,-0.11,0.94,12.29,2.91,18.84,7.0
35,0.88,0.12,0.0,0.89,0.2,0.24,-0.16,7.0
36,0.88,0.12,0.01,0.89,-0.4,0.08,-0.65,7.0
37,0.88,0.13,0.0,0.89,-1.25,-0.65,0.64,7.0
38,0.87,0.13,0.0,0.88,1.6,1.05,-1.03,7.0
39,0.88,0.12,0.01,0.89,0.94,1.06,-0.73,7.0
40,0.88,0.12,0.0,0.89,-0.1,0.19,-0.69,7.0
41,0.88,0.12,0.0,0.89,-0.17,0.18,-0.67,7.0
42,0.88,0.12,0.0,0.89,-0.15,0.17,-0.64,7.0
43,0.88,0.12,0.0,0.89,-0.17,0.19,-0.7,7.0
44,0.88,0.12,0.0,0.89,-0.17,0.19,-0.69,5.0
45,0.88,0.12,0.0,0.89,-0.16,0.2,-0.7,5.0
46,0.88,0.12,0.0,0.89,-0.17,0.16,-0.7,5.0
47,0.88,0.12,0.0,0.89,-0.18,0.2,-0.69,5.0
48,0.88,0.12,0.0,0.89,-0.13,0.21,-0.72,5.0
49,0.88,0.12,0.0,0.89,-0.13,0.18,-0.73,5.0
50,0.88,0.12,0.0,0.89,-0.19,0.12,-0.68,5.0
51,0.88,0.12,0.0,0.89,-0.19,0.15,-0.69,5.0
52,0.88,0.12,0.0,0.89,-0.26,0.1,-0.79,5.0
53,0.88,0.12,0.0,0.89,-1.15,-0.59,-0.63,5.0
54,0.87,0.13,0.0,0.88,-3.14,-2.27,-0.51,5.0
55,0.87,0.13,0.0,0.88,0.25,0.43,-0.78,6.0
56,0.88,0.12,0.0,0.89,0.29,0.58,-0.73,6.0
57,0.88,0.12,0.0,0.89,-0.17,0.18,-0.7,6.0
58,0.88,0.12,0.0,0.89,-0.02,-0.02,-0.67,6.0
59,0.88,0.12,-0.0,0.89,0.41,-1.11,-0.49,6.0
60,0.88,0.0,-0.36,0.95,-1.37,-17.75,18.77,6.0
61,0.85,0.19,-0.52,1.01,-11.99,-88.1,8.63,6.0
62,0.81,0.16,0.0,0.83,-26.79,-145.97,6.72,6.0
63,0.57,0.17,0.4,0.72,-27.27,-139.62,0.84,6.0
64,0.4,0.25,0.64,0.8,-30.51,-118.25,-20.26,6.0
65,0.21,0.14,0.82,0.86,-14.81,-90.93,-199.47,6.0
66,0.04,-0.1,1.29,1.29,-27.29,-53.07,14.53,6.0
67,0.01,0.0,0.92,0.92,4.56,-29.05,1.56,6.0
68,0.01,-0.03,0.92,0.92,2.74,-13.95,-0.64,6.0
69,0.01,-0.01,0.91,0.91,0.04,-1.25,-0.86,6.0
