,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.0,-0.03,0.92,0.92,1.18,-0.93,-3.97,1.0
1,-0.1,0.02,0.98,0.98,-4.72,-8.77,-8.68,1.0
2,-0.0,-0.0,0.84,0.84,-36.01,-18.55,-26.68,1.0
3,-0.12,0.03,0.99,1.0,-34.07,-12.73,-19.5,1.0
4,-0.04,0.08,1.04,1.05,22.39,10.78,-16.89,1.0
5,-0.01,0.09,0.97,0.98,37.64,19.87,-24.29,1.0
6,-0.09,-0.09,0.99,1.0,12.05,15.59,-13.86,1.0
7,-0.01,-0.06,0.96,0.96,-7.95,23.58,14.9,1.0
8,-0.02,-0.03,0.98,0.98,22.52,5.91,27.27,1.0
9,0.25,0.05,0.92,0.95,27.03,7.12,24.62,1.0
10,-0.01,0.01,0.99,0.99,9.79,-4.42,13.54,1.0
11,-0.12,-0.08,1.08,1.09,51.28,-5.37,22.36,1.0
12,0.1,-0.02,0.96,0.97,72.67,17.08,23.37,1.0
13,-0.02,-0.05,0.93,0.93,34.73,9.85,9.1,1.0
14,-0.11,-0.1,0.92,0.93,6.15,-5.68,14.68,1.0
15,0.08,0.03,1.0,1.0,-26.82,-1.21,15.56,1.0
16,0.17,0.11,1.02,1.03,-7.66,1.71,8.2,1.0
17,0.01,0.04,1.04,1.04,62.79,2.24,-15.08,1.0
18,-0.11,-0.09,1.02,1.03,31.42,14.49,-11.65,1.0
19,0.14,-0.03,0.92,0.93,-4.39,4.32,-1.11,1.0
20,0.09,-0.02,0.82,0.83,-39.04,-29.58,6.14,1.0
21,-0.13,-0.15,0.98,1.0,-60.7,-30.76,26.43,1.0
22,0.12,-0.03,0.96,0.97,-62.14,-23.86,31.23,1.0
23,0.04,0.01,1.01,1.01,-59.5,-6.8,28.75,1.0
24,-0.11,0.03,1.04,1.05,-64.85,7.83,16.4,1.0
25,0.12,0.17,1.03,1.05,-105.06,15.21,10.0,1.0
26,0.21,0.17,0.96,0.99,-170.93,57.0,-30.85,1.0
27,0.08,0.03,0.87,0.87,-175.59,68.12,-51.6,1.0
28,0.18,-0.06,0.81,0.83,-143.14,-12.93,-42.27,1.0
29,-0.02,-0.31,0.68,0.75,51.94,172.35,-98.84,1.0
30,0.65,-0.24,0.11,0.71,-60.36,139.08,-48.26,7.0
31,0.76,0.18,0.73,1.07,-178.39,170.49,34.96,7.0
32,1.42,0.52,-0.94,1.78,247.94,93.69,72.52,7.0
33,0.92,0.12,0.98,1.35,-31.37,16.44,26.81,7.0
34,0.75,0.13,0.02,0.76,98.99,-5.14,-45.44,7.0
35,0.88,0.12,-0.0,0.89,2.25,0.74,-2.69,7.0
36,0.88,0.12,0.01,0.89,-0.4,-0.14,-0.6,7.0
37,0.88,0.13,0.0,0.89,-0.72,-0.05,-0.58,7.0
38,0.88,0.12,-0.0,0.89,0.79,0.72,-0.95,7.0
39,0.88,0.13,0.01,0.89,-0.05,0.3,-0.7,7.0
40,0.88,0.12,0.0,0.89,-0.2,0.21,-0.67,7.0
41,0.88,0.13,0.0,0.89,-3.12,1.01,-0.8,7.0
42,0.88,0.13,0.0,0.89,-0.19,0.14,-0.67,7.0
43,0.88,0.13,0.0,0.89,-1.24,0.77,-0.74,7.0
44,0.88,0.13,-0.0,0.89,-1.32,0.84,-0.86,5.0
45,0.89,0.13,0.01,0.9,-0.91,0.58,-1.12,5.0
46,0.88,0.13,0.01,0.9,0.48,-0.21,-0.7,5.0
47,0.88,0.13,0.0,0.89,1.55,-0.83,-0.54,5.0
48,0.88,0.13,-0.0,0.89,1.69,-0.6,-0.7,5.0
49,0.88,0.13,0.0,0.89,0.28,0.05,-0.72,5.0
50,0.88,0.13,0.0,0.89,-0.87,-0.87,-0.54,5.0
51,0.88,0.13,0.0,0.89,-0.6,-0.34,-0.65,5.0
52,0.88,0.13,0.0,0.89,2.76,0.76,-1.24,5.0
53,0.89,0.09,-0.06,0.9,1.41,-3.82,0.85,5.0
54,0.83,0.23,0.08,0.87,-1.33,-6.6,4.13,5.0
55,0.86,0.16,0.02,0.88,0.76,1.29,-0.1,5.0
56,0.87,0.07,0.01,0.87,-0.56,4.58,0.33,6.0
57,0.86,0.13,0.01,0.87,1.11,-0.74,-2.53,6.0
58,0.85,0.06,-0.28,0.9,3.33,-16.06,1.43,6.0
59,0.82,0.14,-0.3,0.88,6.5,-63.9,6.9,6.0
60,0.76,0.13,-0.16,0.79,9.44,-114.87,2.07,6.0
61,0.59,0.08,0.29,0.67,9.4,-123.25,5.3,6.0
62,0.36,0.12,0.5,0.62,8.14,-99.42,4.45,6.0
63,0.22,0.08,0.53,0.58,7.25,-83.31,4.01,6.0
64,0.14,0.13,0.7,0.73,6.19,-76.34,-6.81,6.0
65,0.08,0.04,0.81,0.81,7.95,-71.15,-2.56,6.0
66,0.04,0.03,0.94,0.95,5.21,-54.18,-10.75,6.0
67,0.03,0.04,1.03,1.03,8.27,-56.66,2.46,6.0
