,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,-0.0,-0.01,1.02,1.02,-2.71,-5.04,-5.88,1.0
1,0.01,0.02,1.14,1.15,-12.43,0.02,-14.16,1.0
2,0.02,0.09,1.05,1.05,11.6,7.0,-31.12,1.0
3,-0.05,-0.0,1.11,1.11,36.01,12.7,-29.21,1.0
4,-0.08,0.05,1.02,1.03,-28.87,-2.56,-12.26,1.0
5,-0.13,-0.03,1.1,1.11,-53.11,5.9,-3.4,1.0
6,0.02,-0.03,0.91,0.91,6.98,29.73,-2.92,1.0
7,0.03,-0.11,0.99,1.0,-4.25,8.26,15.86,7.0
8,0.11,-0.03,1.05,1.05,-29.07,-11.96,37.47,7.0
9,-0.11,-0.03,1.08,1.08,0.93,-2.49,36.5,7.0
10,0.0,-0.07,0.99,0.99,27.9,7.48,28.73,7.0
11,-0.01,-0.01,0.94,0.94,54.93,9.89,20.4,7.0
12,0.03,0.02,0.94,0.94,46.23,18.65,-6.88,7.0
13,-0.06,-0.0,0.92,0.92,21.78,22.12,-22.76,7.0
14,-0.04,0.03,0.88,0.88,16.54,16.31,-22.07,7.0
15,0.08,0.03,0.87,0.87,12.57,0.27,-13.5,5.0
16,0.15,0.06,0.88,0.9,2.15,-11.41,-6.35,5.0
17,-0.06,-0.01,0.92,0.92,-11.21,-17.86,0.19,5.0
18,-0.12,-0.05,0.96,0.97,-1.44,-5.36,10.95,5.0
19,0.07,0.02,0.91,0.91,25.09,3.12,18.2,5.0
20,0.09,-0.05,0.87,0.88,3.53,5.69,21.81,5.0
21,-0.09,-0.06,0.88,0.89,-37.06,-10.96,25.66,5.0
22,-0.02,0.03,0.83,0.83,-34.22,-29.04,26.41,5.0
23,0.13,-0.02,0.9,0.91,-33.4,-39.47,21.48,5.0
24,0.08,0.08,0.98,0.98,-61.59,-19.55,30.57,5.0
25,-0.08,0.07,1.08,1.08,-32.22,-13.79,23.22,5.0
26,0.17,0.22,0.98,1.02,-98.77,28.28,-44.2,5.0
27,0.19,-0.02,0.92,0.94,-137.82,80.28,-82.51,5.0
28,0.1,-0.21,0.8,0.83,-106.12,78.17,-49.35,5.0
29,0.11,0.03,0.5,0.51,-164.26,49.67,-13.49,5.0
30,0.33,0.29,0.81,0.92,-32.25,128.03,-16.2,6.0
31,0.89,0.09,0.84,1.23,-23.95,223.54,-32.71,6.0
32,1.67,0.08,-0.94,1.92,-22.89,84.57,-7.81,6.0
33,0.93,0.12,-0.04,0.94,-0.94,2.82,-1.08,6.0
34,0.88,0.12,0.0,0.89,-0.2,0.23,-0.66,6.0
35,0.88,0.12,0.01,0.89,-0.14,0.17,-0.67,6.0
36,0.88,0.12,0.0,0.89,-0.33,-0.08,-0.69,6.0
37,0.88,0.12,0.0,0.89,-0.72,-0.18,-0.18,6.0
38,0.88,0.12,0.0,0.89,0.77,0.71,-0.96,6.0
39,0.88,0.12,0.0,0.89,0.03,0.14,-0.72,6.0
40,0.88,0.12,-0.0,0.89,0.41,-0.58,-0.63,6.0
41,0.88,0.12,0.0,0.89,-0.23,0.31,-0.67,6.0
42,0.88,0.12,0.0,0.89,-0.26,0.33,-0.63,6.0
43,0.88,0.12,0.0,0.89,-0.09,0.15,-0.61,6.0
44,0.88,0.12,-0.0,0.89,0.31,-0.53,-0.6,1.0
45,0.88,0.12,-0.0,0.89,0.09,-0.41,-0.58,1.0
46,0.88,0.12,0.01,0.88,-0.11,-0.71,-0.54,1.0
47,0.87,0.13,0.01,0.88,-0.51,-1.57,-0.42,1.0
48,0.87,0.12,0.0,0.88,0.03,0.45,-0.7,1.0
49,0.87,0.12,0.01,0.88,-0.38,-0.21,-0.72,1.0
50,0.87,0.12,0.0,0.88,-0.23,0.37,-0.59,1.0
51,0.88,0.12,0.01,0.88,-0.16,0.88,-0.76,1.0
52,0.88,0.12,-0.0,0.88,-0.07,-0.05,-0.72,1.0
53,0.87,0.12,-0.0,0.88,-0.24,0.05,-0.65,1.0
54,0.87,0.12,-0.01,0.88,-0.08,0.25,-0.67,1.0
55,0.87,0.13,0.01,0.88,-0.14,-0.35,-0.64,1.0
56,0.87,0.12,-0.07,0.88,-0.63,-4.39,-0.27,7.0
57,0.85,0.14,-0.01,0.86,3.29,-18.23,0.9,7.0
58,0.82,0.05,-0.18,0.84,4.47,-19.97,0.69,7.0
59,0.76,0.2,-0.16,0.8,8.54,-58.39,-1.19,7.0
60,0.69,0.06,-0.05,0.7,10.16,-81.89,-6.88,7.0
61,0.56,0.01,0.2,0.59,13.37,-88.01,2.53,7.0
62,0.4,0.09,0.28,0.5,12.6,-80.84,4.16,7.0
63,0.29,0.04,0.43,0.52,11.21,-73.32,2.89,7.0
64,0.2,0.05,0.51,0.55,9.9,-67.23,1.44,7.0
65,0.13,0.02,0.63,0.65,10.04,-63.68,0.65,7.0
66,0.08,0.03,0.74,0.75,9.2,-58.36,1.55,7.0
67,0.05,0.01,0.86,0.86,8.69,-55.08,-0.54,7.0
68,0.03,0.01,0.98,0.98,7.46,-49.26,4.18,7.0
69,0.01,0.05,1.16,1.16,4.38,-29.53,0.69,7.0
70,0.0,-0.0,1.1,1.1,1.57,-10.9,-0.73,7.0
71,-0.0,0.02,1.08,1.08,1.11,-7.84,-0.63,7.0
72,-0.0,0.04,1.1,1.11,0.53,-4.31,-0.55,7.0
73,-0.0,0.01,1.07,1.07,-0.04,-1.44,-0.3,7.0
74,-0.0,0.03,1.08,1.08,0.22,-3.46,-1.93,7.0
