,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,-0.06,0.02,0.97,0.97,-11.5,-7.42,-3.11,1.0
1,-0.04,0.1,0.97,0.98,-42.76,-28.5,-16.62,1.0
2,-0.03,0.12,1.16,1.17,-29.75,-36.01,-14.67,1.0
3,-0.01,0.11,1.09,1.1,32.02,5.94,-9.08,1.0
4,-0.04,0.06,1.06,1.06,23.92,19.01,-11.0,1.0
5,-0.03,0.1,1.1,1.11,9.47,7.3,0.41,1.0
6,-0.01,0.09,1.07,1.07,13.14,4.01,3.87,1.0
7,-0.02,0.07,1.08,1.08,34.08,6.91,5.52,1.0
8,-0.13,0.09,1.13,1.14,52.56,13.61,5.82,1.0
9,-0.07,0.07,1.07,1.08,55.98,21.21,15.56,1.0
10,0.02,0.07,1.02,1.02,21.53,22.03,10.98,1.0
11,0.05,0.11,0.95,0.95,-6.7,3.9,17.84,1.0
12,-0.06,0.01,1.02,1.02,-27.22,4.79,21.07,1.0
13,0.07,0.12,1.04,1.05,-29.75,-12.58,19.16,1.0
14,0.2,0.2,1.05,1.09,-9.11,-3.88,1.88,1.0
15,-0.07,0.05,1.01,1.02,20.79,7.74,1.38,1.0
16,0.0,0.05,0.94,0.94,10.64,13.27,-5.25,1.0
17,-0.01,0.04,0.99,1.0,-7.18,-7.69,-0.75,1.0
18,-0.01,0.04,0.99,0.99,-33.72,1.8,17.53,1.0
19,0.17,0.07,1.03,1.05,-52.36,7.68,4.71,1.0
20,0.05,0.09,1.03,1.04,-44.49,10.22,0.05,1.0
21,-0.07,0.14,0.99,1.0,-54.36,-9.18,-3.83,1.0
22,-0.22,0.17,1.04,1.08,-106.11,-3.83,-39.99,1.0
23,0.18,0.01,0.94,0.96,-139.07,17.64,-27.36,1.0
24,0.5,-0.0,0.84,0.98,-161.75,20.32,-15.36,1.0
25,-1.03,-0.26,0.34,1.12,-191.32,25.12,-15.73,7.0
26,0.82,-0.03,0.25,0.85,-103.51,197.52,-70.52,7.0
27,1.11,0.17,0.5,1.23,5.53,185.84,-29.08,7.0
28,0.98,-0.24,-0.94,1.38,-46.87,165.27,-2.76,7.0
29,0.89,0.14,-0.14,0.91,-5.97,16.12,0.88,7.0
30,0.88,0.12,0.0,0.89,-0.27,0.58,-0.63,7.0
31,0.88,0.12,0.01,0.89,-0.13,-0.05,-0.62,7.0
32,0.88,0.12,0.0,0.89,-0.27,0.0,-0.68,7.0
33,0.88,0.12,0.0,0.89,-0.29,-0.23,-0.44,7.0
34,0.88,0.12,-0.0,0.89,-0.17,0.27,-0.9,7.0
35,0.88,0.12,0.0,0.89,-0.13,0.26,-0.75,7.0
36,0.88,0.12,0.0,0.89,-0.17,0.18,-0.68,7.0
37,0.88,0.12,0.0,0.89,-0.19,0.18,-0.7,7.0
38,0.88,0.12,0.0,0.89,-0.16,0.2,-0.63,5.0
39,0.88,0.12,0.0,0.89,-0.13,0.18,-0.7,5.0
40,0.88,0.12,0.0,0.89,-0.16,0.19,-0.69,5.0
41,0.88,0.12,0.0,0.89,-0.17,0.2,-0.64,5.0
42,0.88,0.12,0.0,0.89,-0.17,0.21,-0.68,5.0
43,0.88,0.12,0.0,0.89,-0.2,0.02,-0.63,5.0
44,0.88,0.12,0.0,0.89,-0.2,0.14,-0.77,5.0
45,0.88,0.13,0.0,0.89,-0.11,0.01,-0.46,5.0
46,0.88,0.12,0.0,0.89,-0.73,-0.17,-0.6,5.0
47,0.88,0.12,0.01,0.89,-0.07,0.35,-0.79,6.0
48,0.88,0.12,0.0,0.89,-0.17,0.21,-0.7,6.0
49,0.88,0.12,0.0,0.89,-0.13,0.2,-0.67,6.0
50,0.88,0.12,0.0,0.89,0.09,-0.22,-0.56,6.0
51,0.88,0.07,-0.13,0.9,-1.41,-9.86,1.68,6.0
52,0.87,0.13,-0.41,0.97,4.47,-74.21,3.96,6.0
53,0.82,0.16,-0.09,0.84,9.01,-141.78,7.9,6.0
54,0.6,0.13,0.46,0.77,16.74,-131.17,3.64,6.0
55,0.37,0.13,0.55,0.67,14.68,-92.76,-1.18,6.0
56,0.18,0.06,0.57,0.6,8.68,-76.67,2.87,6.0
57,0.13,0.06,0.63,0.65,10.04,-77.69,4.3,6.0
58,0.06,0.13,0.92,0.93,15.98,-74.44,7.61,6.0
59,0.02,0.09,1.07,1.07,4.92,-40.59,1.19,6.0
60,-0.0,0.1,1.07,1.08,0.11,-22.25,7.58,6.0
61,-0.02,0.07,0.99,0.99,0.17,-4.67,-2.47,6.0
62,-0.05,0.03,0.99,0.99,2.95,2.04,-1.18,6.0
63,-0.07,0.12,1.11,1.12,-11.07,-8.02,4.99,6.0
64,-0.05,0.09,1.04,1.05,-2.26,-21.65,6.27,6.0
