,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.02,-0.09,1.06,1.06,0.76,-1.72,-0.86,1.0
1,0.02,-0.09,1.06,1.07,0.16,-1.48,0.2,1.0
2,0.02,-0.08,1.07,1.07,0.03,-1.12,1.14,1.0
3,0.02,-0.07,1.07,1.07,-0.24,-0.71,0.67,1.0
4,0.02,-0.07,1.07,1.07,-0.28,0.28,-0.82,1.0
5,0.02,-0.07,1.07,1.07,-0.32,1.11,-1.4,1.0
6,0.02,-0.08,1.06,1.06,0.0,0.72,-1.22,1.0
7,0.02,-0.08,1.06,1.06,-0.26,-0.26,-0.08,1.0
8,0.02,-0.08,1.07,1.07,0.26,-0.32,0.35,1.0
9,0.01,-0.07,1.05,1.05,-0.39,-0.92,0.42,1.0
10,-0.03,-0.02,1.05,1.05,1.31,-6.28,-4.42,1.0
11,-0.09,0.1,1.06,1.07,13.95,-21.39,-3.47,1.0
12,0.05,0.15,1.06,1.07,2.13,-11.62,8.15,1.0
13,-0.09,0.14,1.05,1.06,-3.19,12.29,8.16,1.0
14,-0.03,0.22,1.0,1.02,10.16,8.51,-0.35,1.0
15,-0.02,0.09,1.05,1.05,-3.88,3.64,-12.28,1.0
16,0.01,-0.02,1.07,1.07,-21.92,19.49,5.0,1.0
17,0.01,-0.03,1.09,1.09,-17.71,26.66,37.31,1.0
18,0.1,0.09,1.03,1.04,-8.47,17.14,42.69,1.0
19,-0.0,0.07,1.06,1.07,-2.09,-3.2,5.9,1.0
20,0.01,-0.04,1.04,1.04,-29.05,-9.35,5.2,1.0
21,-0.04,-0.05,1.04,1.04,-28.5,3.41,14.78,1.0
22,0.02,0.03,1.02,1.02,-15.87,7.74,6.38,1.0
23,0.03,0.07,0.81,0.81,7.65,18.4,17.44,1.0
24,0.04,-0.03,0.94,0.94,-27.46,18.85,-1.98,1.0
25,-0.09,0.2,0.85,0.88,-8.7,10.51,-16.05,1.0
26,0.09,0.17,0.9,0.92,-14.03,-8.51,-60.08,1.0
27,0.12,0.09,0.99,1.0,-86.73,10.64,-87.16,1.0
28,-0.28,-0.48,0.95,1.1,-138.31,26.54,-59.3,1.0
29,0.29,-0.21,0.85,0.92,-184.31,22.21,-36.99,1.0
30,0.56,0.17,0.63,0.86,-212.14,174.73,34.34,1.0
31,0.85,0.27,1.08,1.39,-115.7,248.54,54.83,7.0
32,2.51,-1.12,-0.1,2.75,-93.75,-91.9,-35.42,7.0
33,0.84,0.21,0.92,1.26,158.27,57.86,-18.91,7.0
34,0.84,0.05,-0.54,1.0,-3.03,-5.07,-43.13,7.0
35,0.89,0.13,-0.02,0.9,-0.39,0.02,-2.1,7.0
36,0.89,0.13,0.0,0.9,-0.16,0.15,-0.71,7.0
37,0.89,0.13,0.0,0.9,-0.19,0.16,-0.64,7.0
38,0.89,0.13,0.0,0.9,-0.23,0.13,-0.69,7.0
39,0.89,0.12,0.0,0.9,-0.14,0.21,-0.79,7.0
40,0.89,0.13,0.0,0.9,-0.15,0.25,-0.73,7.0
41,0.89,0.13,0.0,0.9,-0.2,0.1,-0.67,7.0
42,0.89,0.13,0.0,0.9,-0.16,0.18,-0.64,7.0
43,0.9,0.11,0.0,0.9,-2.66,-1.86,0.17,7.0
44,0.87,0.16,0.01,0.89,-2.26,-0.93,0.72,7.0
45,0.88,0.13,-0.0,0.89,6.51,3.56,-1.78,7.0
46,0.89,0.12,0.0,0.9,0.74,0.81,-0.79,7.0
47,0.89,0.13,0.0,0.9,-0.23,0.09,-0.67,7.0
48,0.89,0.13,0.0,0.9,-0.15,0.11,-0.65,7.0
49,0.89,0.13,0.0,0.9,-0.04,0.28,-0.65,7.0
50,0.89,0.13,0.0,0.9,-0.18,0.18,-0.63,7.0
51,0.89,0.12,0.0,0.9,-0.17,0.19,-0.65,5.0
52,0.89,0.12,0.0,0.9,-0.28,0.11,-0.61,5.0
53,0.89,0.13,0.0,0.9,-0.12,0.2,-0.62,5.0
54,0.89,0.13,0.0,0.9,-0.2,0.15,-0.66,5.0
55,0.89,0.13,0.0,0.9,-0.34,0.08,-0.67,5.0
56,0.89,0.13,0.0,0.9,-0.09,0.23,-0.67,5.0
57,0.89,0.13,0.0,0.9,-1.7,-0.87,-0.47,5.0
58,0.88,0.13,0.0,0.89,-1.07,-0.39,-0.5,5.0
59,0.89,0.13,0.0,0.89,-0.72,-0.11,-0.59,5.0
60,0.89,0.13,0.0,0.9,-1.58,-0.63,-0.44,5.0
61,0.88,0.13,0.0,0.89,0.97,0.71,-0.76,5.0
62,0.89,0.13,0.0,0.9,2.36,2.17,-1.28,6.0
63,0.89,0.13,0.0,0.9,-0.03,0.31,-0.7,6.0
64,0.89,0.13,0.0,0.9,-0.15,0.21,-0.67,6.0
65,0.89,0.13,0.0,0.9,-0.17,0.19,-0.66,6.0
66,0.89,0.13,0.0,0.9,-0.17,0.17,-0.67,6.0
67,0.89,0.13,0.0,0.9,0.18,-0.07,-0.59,6.0
68,0.98,0.1,-0.01,0.98,0.13,-0.29,1.78,6.0
69,0.64,0.11,0.02,0.65,-0.46,0.92,3.55,6.0
70,0.88,0.12,0.0,0.89,-0.1,0.18,-0.47,6.0
71,0.9,0.11,-0.02,0.91,0.71,-1.41,-0.52,6.0
72,0.73,0.14,-0.53,0.92,8.99,-41.29,8.09,6.0
73,0.86,0.06,-0.42,0.96,18.14,-112.88,1.5,6.0
