,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.0,-0.02,0.98,0.98,-0.21,0.92,-0.03,1.0
1,0.0,-0.02,0.99,0.99,-0.12,0.48,0.0,1.0
2,0.0,-0.02,0.97,0.97,0.01,0.07,0.01,1.0
3,0.0,-0.02,1.02,1.02,-0.05,-0.51,0.08,1.0
4,0.0,-0.02,0.98,0.98,-0.09,0.09,0.03,1.0
5,0.01,-0.14,0.97,0.98,-6.81,-3.21,1.48,1.0
6,0.01,-0.16,1.01,1.02,-16.34,-4.16,3.98,1.0
7,0.02,-0.12,1.02,1.03,-17.21,-0.28,0.64,1.0
8,0.01,-0.12,1.03,1.04,-1.48,2.15,-1.3,1.0
9,0.0,-0.13,1.03,1.04,14.75,7.31,-0.78,1.0
10,0.04,-0.06,0.99,0.99,21.96,4.38,-2.47,1.0
11,0.05,-0.07,0.98,0.99,20.71,-1.74,-8.12,1.0
12,0.03,-0.08,1.0,1.01,12.02,0.07,-8.82,1.0
13,0.06,-0.08,0.99,0.99,3.78,1.1,-7.53,1.0
14,-0.01,-0.1,1.02,1.02,-0.41,2.08,-1.72,1.0
15,-0.12,-0.11,1.04,1.05,-1.73,2.8,3.95,1.0
16,0.01,-0.07,1.01,1.01,-2.41,5.22,5.14,1.0
17,0.08,-0.05,1.0,1.0,-4.13,5.51,-0.08,1.0
18,0.05,-0.07,1.0,1.01,-4.19,2.16,-2.46,1.0
19,0.03,-0.06,1.0,1.0,-5.74,0.1,0.45,1.0
20,-0.07,-0.06,1.0,1.01,-6.14,-3.39,4.81,1.0
21,-0.02,-0.01,0.99,0.99,-8.23,3.24,6.33,1.0
22,-0.0,-0.01,0.93,0.93,-21.58,5.03,-1.14,1.0
23,0.08,-0.02,0.94,0.94,-22.63,-0.83,-7.2,1.0
24,0.09,-0.02,0.95,0.96,-12.32,1.16,-6.36,1.0
25,-0.06,-0.08,1.01,1.02,3.63,-3.04,-6.55,1.0
26,-0.05,-0.08,1.05,1.05,23.7,12.01,-14.37,1.0
