,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.03,-0.07,1.04,1.05,2.61,1.85,-0.78,1.0
1,0.03,-0.07,1.03,1.04,3.68,2.79,-1.7,1.0
2,0.02,-0.08,1.04,1.04,2.81,3.42,-1.95,1.0
3,0.02,-0.07,1.04,1.04,3.23,4.41,-3.06,1.0
4,0.02,-0.06,1.04,1.04,3.19,3.3,-6.1,1.0
5,0.01,-0.03,1.04,1.04,-0.86,3.49,-8.44,1.0
6,0.01,0.0,1.04,1.04,4.0,5.02,-14.53,1.0
7,0.04,0.01,1.0,1.0,9.29,4.52,-17.07,1.0
8,0.05,0.03,1.0,1.01,6.32,2.86,-17.01,1.0
9,-0.02,0.03,0.98,0.98,-10.2,2.97,-15.41,1.0
10,-0.04,0.01,1.03,1.03,-8.3,-3.02,-13.32,1.0
11,-0.15,-0.06,1.07,1.09,6.94,-4.18,-13.97,1.0
12,-0.04,-0.06,1.09,1.09,19.5,1.29,-0.08,1.0
13,-0.05,-0.08,0.99,0.99,14.57,3.61,15.63,1.0
14,-0.06,-0.11,0.95,0.96,-17.48,0.84,32.4,1.0
15,0.05,-0.03,0.95,0.96,-4.41,-7.51,45.99,1.0
16,0.0,-0.04,1.02,1.02,-34.62,-19.85,46.69,1.0
17,0.06,-0.01,1.11,1.11,-25.37,-15.02,34.1,1.0
18,-0.0,-0.09,0.93,0.94,-48.24,-2.32,29.59,1.0
19,0.03,-0.04,0.99,0.99,-52.64,8.61,27.53,1.0
20,0.16,0.01,0.9,0.91,-24.9,13.18,2.16,1.0
21,0.14,-0.06,0.82,0.84,-98.28,33.54,-2.36,1.0
22,0.24,-0.08,0.96,0.99,-150.13,68.14,-15.14,1.0
23,0.28,-0.25,0.69,0.79,-192.55,85.86,1.69,1.0
24,-0.24,-0.07,0.59,0.64,77.39,203.02,-38.03,1.0
25,0.55,-0.46,-0.18,0.74,70.01,103.9,-55.69,1.0
26,0.73,0.06,0.06,0.73,-12.69,125.9,10.5,7.0
27,0.73,0.07,-0.07,0.74,-23.84,113.58,-5.0,7.0
28,0.89,0.07,-0.52,1.03,-30.37,160.56,-5.09,7.0
29,0.9,0.08,-0.23,0.93,-0.82,7.3,-0.22,7.0
30,0.89,0.08,-0.11,0.9,-0.22,1.2,-0.04,7.0
31,0.89,0.09,-0.11,0.9,-0.23,1.04,-0.04,7.0
32,0.89,0.09,-0.11,0.9,-0.22,1.05,-0.08,7.0
33,0.89,0.09,-0.11,0.9,-0.22,1.05,-0.08,7.0
34,0.89,0.09,-0.11,0.9,-0.24,1.04,0.02,7.0
35,0.89,0.08,-0.11,0.9,-0.23,1.03,-0.03,7.0
36,0.89,0.08,-0.11,0.9,-0.22,1.03,-0.1,7.0
37,0.89,0.09,-0.11,0.9,-0.48,0.51,-0.53,7.0
38,0.89,0.08,-0.11,0.9,-0.67,0.84,-0.79,7.0
39,0.89,0.09,-0.11,0.9,-0.86,0.53,0.09,7.0
40,0.89,0.09,-0.11,0.9,0.55,1.55,-0.27,7.0
41,0.89,0.09,-0.11,0.9,0.2,1.38,-0.07,7.0
42,0.89,0.09,-0.11,0.9,-0.21,1.05,-0.02,7.0
43,0.89,0.09,-0.11,0.9,-0.21,1.05,-0.04,7.0
44,0.89,0.08,-0.11,0.9,-0.25,0.98,-0.08,7.0
45,0.89,0.09,-0.11,0.9,-0.17,1.09,-0.03,7.0
46,0.89,0.09,-0.11,0.9,-0.22,1.08,-0.07,7.0
47,0.89,0.09,-0.11,0.9,-0.21,1.06,-0.07,7.0
48,0.89,0.09,-0.11,0.9,-0.21,1.04,0.01,5.0
49,0.89,0.09,-0.11,0.9,-0.24,1.01,-0.01,5.0
50,0.89,0.09,-0.11,0.9,-0.22,1.04,0.0,5.0
51,0.89,0.09,-0.11,0.9,-0.23,1.04,-0.05,5.0
52,0.89,0.09,-0.11,0.9,-0.23,1.06,-0.05,5.0
53,0.89,0.09,-0.11,0.9,-0.22,1.04,-0.04,5.0
54,0.89,0.09,-0.11,0.9,-0.25,1.07,-0.01,5.0
55,0.89,0.09,-0.11,0.9,-0.17,1.01,-0.05,5.0
56,0.89,0.09,-0.11,0.9,-0.22,1.04,-0.05,5.0
57,0.89,0.09,-0.11,0.9,-0.19,1.0,-0.01,5.0
58,0.89,0.09,-0.11,0.9,-0.1,0.94,-0.01,5.0
59,0.89,0.09,-0.11,0.9,-0.13,0.97,-0.03,5.0
60,0.89,0.09,-0.11,0.9,-0.15,0.99,-0.05,5.0
61,0.89,0.09,-0.11,0.9,-0.28,1.15,0.05,5.0
62,0.89,0.09,-0.11,0.9,-0.25,1.04,0.03,5.0
63,0.89,0.08,-0.11,0.9,-0.29,0.84,0.16,5.0
64,0.89,0.08,-0.11,0.9,-0.06,0.88,-0.02,5.0
65,0.89,0.08,-0.13,0.9,0.01,-0.99,-0.25,6.0
66,0.88,0.1,-0.13,0.89,-0.89,-4.78,-0.56,6.0
67,0.88,0.01,-0.25,0.91,4.75,-19.52,1.81,6.0
68,0.81,0.08,-0.35,0.88,18.08,-35.13,7.31,6.0
69,0.75,0.08,-0.27,0.8,11.25,-86.89,8.0,6.0
70,0.63,0.03,-0.01,0.64,22.06,-96.27,2.44,6.0
71,0.46,-0.0,0.21,0.51,18.75,-89.08,1.63,6.0
72,0.33,-0.04,0.32,0.46,15.33,-79.87,2.89,6.0
73,0.21,-0.02,0.44,0.49,12.83,-66.81,6.33,6.0
