,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.06,-0.2,1.02,1.04,6.77,2.21,-2.71,1.0
1,0.05,-0.18,1.01,1.03,2.13,3.55,-5.77,1.0
2,0.05,-0.12,1.0,1.01,0.41,1.16,-15.04,1.0
3,0.06,-0.11,1.01,1.01,3.59,2.17,-25.52,1.0
4,0.02,-0.15,1.0,1.01,7.47,3.3,-22.67,1.0
5,-0.01,-0.15,1.0,1.01,3.84,1.23,-17.17,1.0
6,-0.07,-0.21,1.01,1.04,10.18,-2.54,-14.62,1.0
7,-0.03,-0.24,1.04,1.07,20.39,-3.56,-0.77,1.0
8,0.07,-0.18,1.05,1.07,26.9,-1.28,11.01,1.0
9,0.04,-0.19,0.99,1.0,2.88,0.6,20.91,1.0
10,-0.05,-0.22,0.95,0.98,-14.47,-3.41,29.85,1.0
11,0.11,-0.14,0.98,1.0,-18.39,13.07,39.86,1.0
12,0.02,-0.16,0.94,0.95,-36.03,-4.69,26.98,1.0
13,0.06,-0.15,1.03,1.04,-33.72,-12.31,15.82,1.0
14,0.05,-0.19,0.93,0.95,-16.34,-7.53,10.92,1.0
15,0.02,-0.23,0.92,0.95,-52.33,-3.95,28.05,1.0
16,0.01,-0.14,1.02,1.03,-43.05,-9.16,28.34,1.0
17,0.04,-0.17,0.82,0.84,-29.16,-3.18,34.5,1.0
18,0.2,-0.12,0.95,0.97,-79.4,-1.36,-5.85,1.0
19,0.25,-0.18,0.9,0.96,-115.08,22.87,-10.94,1.0
20,0.1,-0.36,0.85,0.93,-120.2,17.38,8.73,1.0
21,0.01,-0.28,0.83,0.88,-122.91,20.94,12.38,1.0
22,-0.2,-0.47,0.58,0.78,-4.9,93.57,-103.58,1.0
23,0.36,-0.24,0.46,0.63,-129.09,71.18,-25.28,1.0
24,0.42,0.31,0.5,0.72,-39.65,129.45,6.4,7.0
25,0.88,0.02,0.71,1.13,-34.2,190.98,-45.11,7.0
26,1.6,0.13,-1.05,1.92,-25.25,93.89,-5.19,7.0
27,0.91,0.09,-0.14,0.93,-0.93,3.42,-0.04,7.0
28,0.89,0.09,-0.11,0.9,-0.22,1.07,-0.05,7.0
29,0.89,0.09,-0.11,0.9,-0.22,1.04,-0.07,7.0
30,0.89,0.09,-0.11,0.9,-0.21,1.05,-0.08,7.0
31,0.89,0.09,-0.11,0.9,-0.22,1.01,-0.01,7.0
32,0.89,0.09,-0.11,0.91,-0.24,1.03,-0.02,7.0
33,0.89,0.09,-0.1,0.9,-0.41,0.23,0.1,7.0
34,0.89,0.08,-0.11,0.9,-0.78,0.42,-0.41,7.0
35,0.89,0.09,-0.11,0.9,-1.05,0.46,0.13,7.0
36,0.89,0.1,-0.11,0.9,-5.24,-1.17,0.73,7.0
37,0.89,0.09,-0.11,0.9,3.1,2.6,-0.43,7.0
38,0.89,0.09,-0.11,0.9,2.08,2.84,-0.44,7.0
39,0.89,0.09,-0.11,0.9,-0.11,1.17,-0.08,7.0
40,0.89,0.09,-0.11,0.9,-0.24,1.06,-0.04,7.0
41,0.89,0.09,-0.11,0.9,-0.2,1.06,-0.05,7.0
42,0.89,0.09,-0.11,0.9,-0.23,1.07,-0.04,5.0
43,0.89,0.09,-0.11,0.9,-0.18,1.04,-0.04,5.0
44,0.89,0.09,-0.11,0.9,-0.22,1.04,-0.02,5.0
45,0.89,0.09,-0.11,0.9,-0.25,1.07,-0.01,5.0
46,0.89,0.09,-0.11,0.9,-0.19,1.04,-0.04,5.0
47,0.89,0.09,-0.11,0.9,-0.23,1.02,-0.05,5.0
48,0.89,0.08,-0.1,0.9,-0.48,1.24,-0.08,5.0
49,0.89,0.09,-0.11,0.9,-0.26,1.04,0.0,5.0
50,0.89,0.09,-0.11,0.9,-0.15,1.1,0.05,5.0
51,0.89,0.09,-0.11,0.9,-0.25,1.1,0.15,5.0
52,0.89,0.08,-0.11,0.9,-0.23,0.91,0.21,5.0
53,0.89,0.09,-0.11,0.9,-0.2,1.01,-0.94,6.0
54,0.89,0.08,-0.11,0.9,-0.17,1.01,-0.13,6.0
55,0.89,0.09,-0.11,0.9,0.45,0.41,-0.07,6.0
56,0.89,0.09,-0.2,0.91,-1.23,-5.58,0.17,6.0
57,0.88,0.05,-0.18,0.9,3.41,-12.99,1.63,6.0
58,0.82,0.06,-0.29,0.88,7.54,-32.05,4.41,6.0
59,0.77,0.06,-0.25,0.81,12.53,-56.57,1.99,6.0
60,0.69,0.05,-0.11,0.7,14.68,-73.86,2.79,6.0
61,0.56,0.01,0.07,0.57,15.02,-76.68,4.37,6.0
62,0.43,0.02,0.13,0.45,14.61,-74.63,2.74,6.0
63,0.33,-0.03,0.24,0.4,14.86,-76.43,3.17,6.0
64,0.22,-0.02,0.47,0.52,13.88,-70.09,2.78,6.0
65,0.13,-0.06,0.6,0.62,9.53,-47.91,-3.07,6.0
66,0.08,-0.05,0.56,0.57,6.93,-30.82,3.01,6.0
67,0.07,-0.05,0.53,0.54,6.7,-32.78,-1.36,6.0
68,-0.01,-0.13,0.67,0.69,11.5,-39.48,-0.35,6.0
69,-0.11,-0.2,0.73,0.76,30.81,-29.57,1.66,6.0
