,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.01,-0.08,1.02,1.02,-0.23,1.06,-0.11,1.0
1,0.01,-0.07,1.02,1.02,-0.48,1.3,0.79,1.0
2,0.01,-0.07,1.01,1.01,0.1,1.23,0.73,1.0
3,0.01,-0.07,1.02,1.02,-0.77,1.12,0.49,1.0
4,0.01,-0.07,1.02,1.02,-0.11,1.51,0.57,1.0
5,0.01,-0.06,1.01,1.01,-0.31,1.69,1.21,1.0
6,0.01,-0.06,1.01,1.01,-0.34,1.0,0.45,1.0
7,0.02,-0.07,1.01,1.01,-1.9,1.43,-0.81,1.0
8,0.02,-0.06,1.02,1.03,-1.05,1.01,-1.47,1.0
9,0.05,0.0,0.96,0.96,-0.21,14.39,-8.35,1.0
10,-0.01,-0.07,0.98,0.98,-12.82,1.4,-10.66,1.0
11,0.0,0.02,0.98,0.98,-24.84,1.0,-24.46,1.0
12,-0.07,0.02,0.97,0.97,17.9,8.8,-31.65,1.0
13,-0.02,0.03,0.88,0.88,14.06,6.34,-33.47,1.0
14,-0.08,-0.05,0.89,0.9,-4.98,1.79,-33.73,1.0
15,-0.12,-0.18,0.94,0.96,-24.61,21.05,-11.9,1.0
16,-0.0,-0.2,0.87,0.89,-23.06,21.72,29.24,1.0
17,0.08,-0.12,0.89,0.9,5.41,11.8,51.96,1.0
18,0.11,-0.02,0.84,0.85,25.24,7.24,41.28,1.0
19,0.04,-0.14,0.83,0.85,1.75,-9.22,27.31,1.0
20,-0.06,-0.17,0.9,0.92,-33.15,-17.52,34.08,1.0
21,0.01,-0.09,0.92,0.93,-34.49,-17.07,35.08,1.0
22,0.16,-0.02,0.92,0.93,-48.76,-15.25,23.06,1.0
23,0.03,-0.04,0.9,0.9,-79.09,-21.99,13.89,1.0
24,-0.02,-0.08,0.9,0.9,-107.57,34.4,-46.91,1.0
25,0.07,-0.11,0.77,0.78,-118.26,96.36,-84.96,1.0
26,0.36,-0.09,0.65,0.75,-75.41,74.01,-72.74,1.0
27,0.38,-0.15,0.54,0.68,-177.35,63.41,-57.24,1.0
28,0.79,0.16,0.9,1.21,-206.72,200.0,19.02,1.0
29,0.98,1.87,0.09,2.12,-45.36,249.38,36.5,7.0
30,1.11,-0.05,1.04,1.52,-222.66,96.8,47.52,7.0
31,0.99,0.13,0.85,1.32,156.74,13.92,-38.5,7.0
32,0.84,0.1,-0.35,0.92,11.97,0.69,6.08,7.0
33,0.89,0.09,-0.11,0.9,0.22,1.0,0.13,7.0
34,0.89,0.08,-0.11,0.9,-0.23,1.04,-0.06,7.0
35,0.89,0.09,-0.11,0.9,-0.22,0.78,-0.25,7.0
36,0.89,0.08,-0.11,0.9,-0.78,0.29,-0.1,7.0
37,0.88,0.09,-0.11,0.9,-4.18,-1.9,0.92,7.0
38,0.88,0.09,-0.11,0.9,-1.75,-0.05,0.58,7.0
39,0.88,0.09,-0.11,0.89,1.85,1.82,-0.58,7.0
40,0.89,0.09,-0.11,0.9,1.97,2.68,-0.73,7.0
41,0.89,0.09,-0.11,0.9,-0.11,1.07,-0.17,7.0
42,0.89,0.09,-0.11,0.9,-0.19,1.04,-0.12,7.0
43,0.89,0.09,-0.11,0.9,-0.04,0.85,-0.08,7.0
44,0.89,0.08,-0.11,0.9,-0.09,0.8,-0.1,7.0
45,0.89,0.09,-0.11,0.9,-0.1,0.81,-0.11,7.0
46,0.89,0.09,-0.1,0.9,-0.1,0.73,-0.06,5.0
47,0.89,0.08,-0.11,0.9,-0.24,1.08,-0.09,5.0
48,0.88,0.09,-0.1,0.89,0.07,0.23,-0.11,5.0
49,0.88,0.08,-0.09,0.89,-0.21,0.81,-0.1,5.0
50,0.88,0.08,-0.09,0.89,0.13,1.16,-0.17,5.0
51,0.88,0.08,-0.14,0.9,0.11,-0.17,0.05,5.0
52,0.88,0.08,-0.11,0.89,-0.52,0.24,0.03,5.0
53,0.88,0.07,-0.17,0.9,-0.15,-2.09,0.29,5.0
54,0.87,0.08,-0.03,0.87,0.34,-7.08,0.03,5.0
55,0.86,0.09,-0.18,0.88,-0.55,4.75,0.42,5.0
56,0.87,0.07,-0.09,0.88,-0.34,2.63,-0.42,5.0
57,0.87,0.09,-0.09,0.88,-0.22,1.52,0.06,5.0
58,0.87,0.09,-0.1,0.88,-0.32,1.33,-0.11,5.0
59,0.87,0.08,-0.1,0.88,-0.19,1.17,-0.04,5.0
60,0.87,0.08,-0.12,0.88,0.37,-0.09,0.1,5.0
61,0.87,0.09,-0.09,0.88,0.2,-0.12,0.17,5.0
62,0.86,0.06,-0.24,0.9,1.58,-8.43,2.58,6.0
63,0.83,0.1,-0.24,0.86,4.21,-30.19,1.28,6.0
64,0.77,0.06,-0.22,0.81,7.02,-51.77,0.46,6.0
65,0.68,0.04,-0.12,0.7,9.61,-71.35,3.88,6.0
66,0.57,0.05,0.0,0.57,10.74,-78.81,5.23,6.0
67,0.44,0.04,0.07,0.45,11.23,-83.45,2.38,6.0
68,0.34,0.01,0.23,0.41,11.69,-88.24,2.98,6.0
69,0.23,0.03,0.44,0.49,11.11,-85.09,3.21,6.0
