,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.01,-0.02,1.13,1.13,-2.58,1.75,-2.2,1.0
1,0.01,-0.04,1.13,1.13,2.56,2.85,-1.9,1.0
2,0.02,-0.05,1.13,1.13,-0.75,4.01,2.12,1.0
3,0.01,-0.03,1.13,1.13,0.45,6.34,4.77,1.0
4,0.01,-0.01,1.1,1.1,1.06,8.29,5.51,1.0
5,0.0,-0.01,1.08,1.08,-0.51,7.89,6.54,1.0
6,-0.0,0.0,1.05,1.05,0.12,6.8,9.6,1.0
7,0.0,0.02,1.04,1.04,-0.78,3.46,12.93,1.0
8,-0.01,0.08,1.06,1.06,0.91,3.75,13.78,1.0
9,-0.01,0.13,1.08,1.09,1.36,6.71,7.92,1.0
10,-0.02,0.15,1.02,1.03,-1.13,9.54,5.44,1.0
11,-0.02,0.14,0.99,1.0,-9.95,6.8,-3.24,1.0
12,-0.01,0.15,0.96,0.97,-0.81,3.29,-6.31,1.0
13,-0.02,0.08,0.97,0.97,18.98,1.34,-13.73,1.0
14,-0.01,0.06,0.99,0.99,-6.12,-6.16,-11.87,1.0
15,0.0,0.05,1.03,1.04,-11.13,-6.05,-13.38,1.0
16,-0.0,0.02,1.02,1.02,-0.6,-1.24,-17.11,1.0
17,0.01,-0.05,0.99,0.99,-7.09,-5.74,-10.87,1.0
18,0.01,-0.03,1.03,1.03,-4.54,-8.21,-7.51,1.0
19,0.01,-0.04,1.06,1.06,1.48,-8.58,-6.07,1.0
20,0.01,-0.05,1.07,1.07,-0.95,-7.8,-3.04,1.0
21,0.01,-0.05,1.12,1.12,-0.27,-4.69,-0.51,1.0
22,0.01,-0.05,1.11,1.11,1.23,0.18,-0.38,1.0
23,0.01,-0.02,1.09,1.09,-1.53,1.76,-0.79,1.0
24,0.01,-0.04,1.09,1.09,-2.16,2.27,-1.38,1.0
25,0.01,-0.04,1.06,1.06,-1.4,2.04,0.6,1.0
26,0.01,-0.04,1.07,1.07,2.53,1.11,-1.26,1.0
27,0.01,-0.04,1.07,1.07,5.66,1.4,1.86,1.0
28,0.01,-0.04,1.08,1.08,-1.74,0.39,-0.55,1.0
29,0.03,-0.05,1.07,1.08,-1.68,2.99,-2.78,1.0
30,0.01,-0.05,1.07,1.07,-7.83,2.39,0.21,1.0
