,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,-0.09,0.12,0.97,0.98,15.25,-2.37,-17.76,1.0
1,-0.09,0.09,1.05,1.06,43.75,3.66,-52.06,1.0
2,-0.04,-0.03,0.97,0.97,19.35,0.96,-41.7,1.0
3,0.02,0.06,0.95,0.95,-9.24,-2.49,-7.48,1.0
4,-0.12,0.07,0.93,0.94,-21.96,-1.7,-4.76,1.0
5,-0.22,-0.06,1.01,1.03,-39.75,21.04,-5.31,1.0
6,0.02,-0.06,1.0,1.01,-26.71,29.84,29.08,1.0
7,0.13,0.01,0.98,0.99,9.01,21.38,44.01,1.0
8,0.18,0.06,0.93,0.95,26.04,10.92,34.98,1.0
9,-0.13,-0.06,0.97,0.98,32.26,-2.14,29.26,1.0
10,0.0,0.04,0.99,1.0,55.6,2.64,22.12,1.0
11,0.12,0.02,0.91,0.92,50.16,10.03,-0.98,1.0
12,-0.03,-0.05,0.85,0.85,23.73,-7.53,2.67,1.0
13,0.05,-0.0,0.93,0.93,-0.94,-16.72,8.31,1.0
14,0.17,0.02,0.93,0.94,-13.46,-7.34,3.07,1.0
15,-0.02,0.02,0.96,0.96,1.41,-6.42,4.59,1.0
16,-0.24,-0.06,1.06,1.09,21.45,-4.31,-4.17,1.0
17,0.17,0.02,0.92,0.94,9.82,9.82,-5.56,1.0
18,0.06,-0.03,0.81,0.81,-17.93,-20.52,6.4,1.0
19,-0.05,-0.05,0.94,0.94,-49.23,-33.81,19.33,1.0
20,0.09,-0.01,1.03,1.03,-62.71,-27.57,27.1,1.0
21,-0.02,0.05,1.0,1.0,-51.23,-22.54,26.95,1.0
22,-0.08,-0.02,1.05,1.05,-77.19,-7.51,17.56,1.0
23,0.06,0.08,1.05,1.06,-125.81,-3.72,20.78,1.0
24,0.28,0.13,1.1,1.14,-186.8,41.28,-9.76,1.0
25,-0.29,0.11,0.88,0.93,-71.23,144.84,-96.12,1.0
26,0.29,-0.23,0.69,0.78,-30.54,114.67,-68.57,1.0
27,0.44,-0.16,0.52,0.7,-124.81,81.54,-25.15,1.0
28,0.87,0.19,0.98,1.33,-140.53,225.58,9.18,7.0
29,1.74,0.71,-0.93,2.1,247.94,165.05,113.17,7.0
30,0.91,0.34,0.94,1.35,-63.96,59.44,30.79,7.0
31,0.89,0.13,-0.48,1.02,140.42,-9.07,4.49,7.0
32,0.88,0.12,-0.02,0.89,3.88,-0.04,-0.39,7.0
33,0.88,0.12,0.0,0.89,-0.31,0.23,-0.84,7.0
34,0.88,0.12,0.0,0.89,-0.14,0.18,-0.72,7.0
35,0.89,0.13,0.0,0.9,0.03,-0.07,-0.92,7.0
36,0.88,0.12,0.0,0.89,-0.82,0.21,0.37,7.0
37,0.88,0.12,0.0,0.89,0.21,0.11,-1.03,7.0
38,0.88,0.12,-0.0,0.89,0.0,-0.14,-0.52,7.0
39,0.88,0.13,0.0,0.89,-0.38,0.43,-0.8,7.0
40,0.88,0.12,0.0,0.89,-0.22,0.21,-0.71,7.0
41,0.88,0.12,0.0,0.89,-0.23,0.2,-0.66,7.0
42,0.88,0.12,0.0,0.89,-0.27,0.24,-0.64,7.0
43,0.88,0.13,-0.0,0.89,-2.67,1.27,-0.76,7.0
44,0.89,0.13,0.01,0.9,-1.5,1.01,-0.62,7.0
45,0.88,0.13,-0.0,0.89,-0.3,0.31,-0.6,7.0
46,0.89,0.13,0.01,0.9,-0.58,0.47,-0.66,7.0
47,0.89,0.13,0.0,0.9,-0.25,0.19,-0.63,5.0
48,0.88,0.13,-0.01,0.89,0.07,-0.02,-0.67,5.0
49,0.89,0.13,0.0,0.9,-0.27,0.27,-0.67,5.0
50,0.89,0.13,0.0,0.9,0.18,-0.5,-0.63,5.0
51,0.88,0.13,-0.01,0.89,-0.5,0.78,-0.64,5.0
52,0.89,0.13,0.0,0.9,-0.39,0.37,-0.69,5.0
53,0.89,0.13,0.0,0.9,-0.17,0.14,-0.65,5.0
54,0.89,0.13,0.0,0.9,0.32,-0.58,-0.7,5.0
55,0.88,0.13,-0.02,0.89,-0.55,0.91,-0.68,5.0
56,0.89,0.13,0.0,0.9,-0.35,0.34,-0.76,5.0
57,0.89,0.13,0.0,0.9,0.64,-0.43,-0.58,5.0
58,0.88,0.13,-0.01,0.89,3.68,-2.42,-0.7,5.0
59,0.89,0.12,0.0,0.89,0.59,-0.53,-0.41,5.0
60,0.88,0.12,0.0,0.89,-0.02,-0.21,-0.57,5.0
61,0.88,0.13,-0.01,0.89,0.85,-0.85,-0.56,5.0
62,0.88,0.12,-0.01,0.89,-0.02,-1.76,-1.7,5.0
63,0.87,0.15,-0.02,0.88,-0.19,-7.89,-1.88,6.0
64,0.86,0.05,-0.06,0.86,1.43,-16.04,3.49,6.0
65,0.8,0.08,-0.32,0.86,4.31,-54.47,17.74,6.0
66,0.75,0.19,-0.06,0.77,2.48,-92.47,4.56,6.0
67,0.58,0.11,0.16,0.62,2.11,-96.17,0.88,6.0
68,0.43,0.09,0.33,0.55,1.99,-87.19,4.45,6.0
69,0.28,0.12,0.41,0.51,2.2,-73.44,3.52,6.0
70,0.19,0.13,0.51,0.56,1.99,-68.02,3.1,6.0
71,0.13,0.14,0.59,0.62,1.88,-63.26,-4.67,6.0
72,0.08,0.12,0.73,0.75,2.63,-60.91,-15.28,6.0
73,0.06,0.1,0.88,0.89,5.74,-71.46,-7.15,6.0
74,0.01,0.08,0.98,0.99,6.9,-50.83,1.71,6.0
75,0.07,0.09,1.14,1.14,9.0,-33.98,6.61,6.0
76,-0.0,0.1,1.17,1.18,2.64,-27.84,-0.07,6.0
