,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.01,-0.02,1.14,1.14,2.34,2.16,-1.18,1.0
1,0.01,-0.03,1.13,1.13,-0.58,-0.08,-1.57,1.0
2,-0.04,-0.11,1.22,1.22,10.0,-6.95,-24.52,1.0
3,-0.09,0.01,1.16,1.16,23.2,-2.87,-8.04,1.0
4,0.02,0.13,1.1,1.11,-6.47,6.86,-2.45,1.0
5,0.01,0.1,1.08,1.09,-24.75,5.64,-2.94,1.0
6,-0.06,0.07,1.14,1.14,-13.0,8.92,10.33,1.0
7,-0.01,0.03,1.11,1.11,-0.58,17.66,21.6,1.0
8,0.06,0.04,1.11,1.11,11.03,19.15,31.03,1.0
9,-0.02,0.06,1.12,1.13,24.81,15.67,30.0,1.0
10,-0.05,0.1,1.06,1.07,20.93,6.58,11.01,1.0
11,-0.01,0.02,1.05,1.05,2.67,3.95,6.92,1.0
12,-0.02,0.06,1.05,1.05,-18.78,-0.21,7.06,1.0
13,-0.0,0.11,1.04,1.05,-6.6,-0.9,4.19,1.0
14,0.05,0.09,1.06,1.07,2.12,3.01,-5.59,1.0
15,-0.06,0.08,1.03,1.03,2.25,-5.23,-11.32,1.0
16,-0.02,0.04,1.01,1.01,-0.74,12.88,-11.29,1.0
17,0.05,0.01,0.92,0.92,-12.28,-5.54,6.64,1.0
18,-0.05,-0.06,0.97,0.97,-25.2,-5.86,13.72,1.0
19,0.08,0.02,0.96,0.96,-41.2,-22.45,18.35,1.0
20,0.12,0.07,0.99,1.0,-42.15,-0.86,2.29,1.0
21,-0.14,0.04,1.12,1.13,-5.1,0.92,4.92,1.0
22,-0.1,-0.02,0.95,0.95,-69.13,-9.68,30.58,1.0
23,0.52,0.17,1.03,1.17,-118.81,5.65,-0.22,1.0
24,0.32,0.04,0.86,0.92,-184.39,73.7,-34.76,1.0
25,-0.49,0.01,0.33,0.59,-136.85,67.86,-47.19,1.0
26,0.09,-0.31,0.37,0.49,17.89,167.63,-86.7,1.0
27,0.72,-0.23,0.17,0.78,-58.87,133.12,-82.93,1.0
28,0.87,-0.01,0.47,0.99,-149.26,99.14,-23.9,7.0
29,1.41,0.21,0.35,1.47,-21.41,20.54,-79.87,7.0
30,0.9,0.12,-0.02,0.91,1.57,6.74,-5.6,7.0
31,0.89,0.12,0.0,0.9,-0.07,0.34,-0.85,7.0
32,0.89,0.12,0.0,0.9,-0.14,0.12,-0.7,7.0
33,0.89,0.12,0.0,0.9,2.21,-1.31,-0.79,7.0
34,0.89,0.12,0.0,0.9,-0.53,0.11,-0.67,7.0
35,0.89,0.13,0.0,0.89,-0.11,-0.31,0.4,7.0
36,0.89,0.12,0.0,0.9,-0.37,0.08,-0.29,7.0
37,0.89,0.12,0.01,0.9,-0.2,0.39,-1.12,7.0
38,0.89,0.12,0.0,0.9,-0.17,0.21,-0.8,7.0
39,0.89,0.12,0.0,0.9,-0.16,0.19,-0.73,7.0
40,0.89,0.12,0.0,0.9,-0.16,0.18,-0.71,7.0
41,0.89,0.12,0.0,0.9,-0.18,0.18,-0.66,5.0
42,0.89,0.12,0.0,0.9,-0.16,0.18,-0.73,5.0
43,0.89,0.12,0.0,0.9,-0.17,0.21,-0.71,5.0
44,0.89,0.12,0.0,0.9,-0.15,0.19,-0.71,5.0
45,0.89,0.12,0.0,0.9,-0.2,0.17,-0.64,5.0
46,0.89,0.12,0.0,0.9,-0.09,0.14,-0.73,5.0
47,0.89,0.12,0.0,0.89,-0.17,0.1,-0.25,5.0
48,0.89,0.12,0.0,0.9,-0.24,0.18,-0.7,5.0
49,0.89,0.13,0.0,0.9,-0.02,0.06,0.15,5.0
50,0.89,0.12,0.0,0.9,-0.16,0.26,-0.63,6.0
51,0.89,0.12,0.0,0.89,-0.19,0.27,-1.05,6.0
52,0.89,0.12,0.0,0.9,-0.2,0.19,-0.78,6.0
53,0.89,0.12,0.0,0.9,0.0,0.07,-0.74,6.0
54,0.89,0.12,-0.0,0.9,0.58,-0.76,-0.47,6.0
55,0.95,-0.07,-0.28,0.99,2.51,-14.92,16.25,6.0
56,0.79,0.29,-0.3,0.89,16.49,-75.06,14.64,6.0
57,0.78,0.12,-0.09,0.8,22.79,-123.98,5.83,6.0
58,0.61,0.05,0.22,0.65,26.13,-138.15,2.26,6.0
59,0.4,0.04,0.53,0.66,25.76,-130.39,6.5,6.0
60,0.2,0.05,0.79,0.82,24.87,-113.08,6.39,6.0
61,0.07,0.04,1.04,1.05,15.8,-82.76,7.79,6.0
62,0.02,0.03,1.1,1.1,7.71,-43.64,5.46,6.0
