,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.03,-0.06,1.01,1.01,-4.05,4.45,1.3,1.0
1,0.05,0.01,0.96,0.96,-7.4,7.15,-2.34,1.0
2,0.06,0.09,0.99,1.0,-2.76,-1.83,-21.0,1.0
3,0.0,-0.0,0.92,0.92,-4.63,-9.53,-32.97,1.0
4,-0.06,-0.01,0.98,0.98,-10.6,-19.36,-24.06,1.0
5,-0.06,-0.02,1.0,1.0,-10.01,-21.59,-20.5,1.0
6,-0.11,-0.05,1.06,1.06,1.42,-21.73,-11.57,1.0
7,-0.03,-0.05,1.12,1.12,13.81,-8.23,3.52,1.0
8,-0.03,-0.05,1.04,1.04,8.92,7.0,22.77,1.0
9,-0.09,-0.06,1.04,1.05,-10.41,15.29,34.36,1.0
10,-0.03,-0.07,0.99,0.99,-13.73,17.67,35.3,1.0
11,0.07,0.01,1.03,1.03,-20.28,-2.89,30.6,1.0
12,0.09,0.02,1.13,1.14,-14.07,-7.14,25.23,1.0
13,0.01,-0.01,1.04,1.04,-10.04,-2.04,22.1,1.0
14,0.0,-0.04,1.0,1.0,-27.9,18.54,22.87,1.0
15,0.11,0.08,1.12,1.12,-19.73,10.7,23.96,1.0
16,0.02,0.0,0.94,0.94,-23.34,-6.9,14.99,1.0
17,0.07,0.06,1.0,1.01,-32.48,3.66,4.97,1.0
18,0.11,-0.05,0.93,0.94,-24.89,8.68,-6.06,1.0
19,0.12,-0.17,0.87,0.89,-87.98,14.54,-6.85,1.0
20,0.06,-0.17,0.9,0.92,-142.46,33.81,-3.72,1.0
21,0.1,-0.13,0.86,0.87,-151.99,42.16,-5.52,1.0
22,0.02,-0.16,0.8,0.81,-142.95,50.89,-25.39,1.0
23,-0.86,0.31,0.66,1.13,-124.66,28.66,-14.96,1.0
24,0.47,0.12,0.61,0.78,-7.08,78.43,-49.79,1.0
25,0.37,-0.31,0.14,0.5,-7.11,117.29,-68.75,1.0
26,0.55,0.1,0.19,0.59,-64.53,106.6,-9.83,7.0
27,0.69,-0.04,0.52,0.87,-29.47,115.38,-6.71,7.0
28,1.42,0.13,-1.05,1.77,-9.31,103.53,6.84,7.0
29,0.9,0.09,-0.16,0.92,-0.55,4.45,0.19,7.0
30,0.89,0.09,-0.11,0.9,-0.25,1.12,0.03,7.0
31,0.89,0.09,-0.11,0.9,-0.23,1.04,-0.04,7.0
32,0.89,0.09,-0.11,0.9,-0.23,1.02,-0.01,7.0
33,0.89,0.09,-0.11,0.9,-0.19,1.01,-0.04,7.0
34,0.89,0.09,-0.11,0.9,-0.22,1.04,-0.04,7.0
35,0.89,0.09,-0.1,0.9,-0.43,0.42,0.01,7.0
36,0.89,0.09,-0.11,0.9,-0.55,0.65,-0.53,7.0
37,0.89,0.08,-0.11,0.9,-0.68,0.77,-0.17,7.0
38,0.89,0.09,-0.11,0.9,-0.07,1.13,-1.43,7.0
39,0.89,0.09,-0.11,0.9,-0.11,1.08,-0.05,7.0
40,0.89,0.09,-0.11,0.9,-0.96,0.68,0.18,7.0
41,0.89,0.09,-0.11,0.9,0.33,1.42,-0.11,7.0
42,0.89,0.09,-0.11,0.9,-0.5,0.7,0.05,7.0
43,0.89,0.09,-0.11,0.9,-0.19,1.04,-0.04,7.0
44,0.89,0.09,-0.11,0.9,-0.33,0.99,-0.03,7.0
45,0.89,0.09,-0.11,0.9,-0.14,1.08,-0.04,7.0
46,0.89,0.09,-0.11,0.9,0.01,1.25,-0.1,7.0
47,0.89,0.09,-0.11,0.9,0.23,1.46,-0.08,7.0
48,0.89,0.09,-0.11,0.9,-0.18,1.07,-0.06,5.0
49,0.89,0.09,-0.11,0.9,-0.21,1.1,-0.08,5.0
50,0.89,0.09,-0.11,0.9,-0.2,1.07,-0.04,5.0
51,0.89,0.09,-0.11,0.9,-0.2,1.06,-0.02,5.0
52,0.89,0.09,-0.11,0.9,-0.23,1.1,-0.04,5.0
53,0.89,0.09,-0.11,0.9,-0.22,1.04,-0.03,5.0
54,0.89,0.09,-0.11,0.9,-0.22,1.04,-0.01,5.0
55,0.89,0.09,-0.11,0.9,-0.2,1.07,0.0,5.0
56,0.89,0.09,-0.11,0.9,-0.97,0.4,0.04,5.0
57,0.89,0.09,-0.11,0.9,-0.49,0.83,0.07,5.0
58,0.89,0.09,-0.11,0.9,-0.37,1.01,0.05,5.0
59,0.89,0.09,-0.11,0.9,0.55,1.32,-0.01,6.0
60,0.89,0.09,-0.11,0.9,0.49,0.96,-0.11,6.0
61,0.89,0.09,-0.18,0.91,-0.92,-4.89,0.16,6.0
62,0.87,0.11,-0.15,0.89,1.09,-6.72,-2.1,6.0
63,0.86,0.07,-0.05,0.86,2.8,-14.62,1.44,6.0
64,0.82,0.08,-0.3,0.88,7.68,-39.57,2.47,6.0
65,0.76,0.03,-0.25,0.79,12.33,-60.78,-2.76,6.0
66,0.66,0.01,-0.07,0.66,15.1,-76.08,0.14,6.0
67,0.52,0.0,0.08,0.53,16.05,-77.59,3.46,6.0
68,0.39,0.02,0.22,0.45,14.71,-70.5,3.75,6.0
69,0.28,-0.03,0.37,0.47,11.72,-56.7,1.18,6.0
70,0.2,-0.04,0.41,0.46,8.02,-39.19,1.97,6.0
71,0.16,-0.03,0.4,0.43,6.19,-30.25,1.01,6.0
72,0.13,-0.08,0.49,0.51,4.95,-21.44,-0.35,6.0
73,0.11,-0.06,0.42,0.43,5.38,-24.55,1.08,6.0
74,0.09,-0.07,0.46,0.47,7.06,-33.82,0.71,6.0
