,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.01,-0.03,1.13,1.13,-0.44,-1.05,-0.73,1.0
1,0.02,-0.02,1.14,1.14,-0.1,-1.51,0.49,1.0
2,0.02,-0.01,1.15,1.15,-1.94,0.29,1.17,1.0
3,0.01,0.01,1.16,1.16,-2.13,2.38,-0.68,1.0
4,0.02,-0.02,1.13,1.13,6.22,2.59,-4.98,1.0
5,0.02,-0.03,1.1,1.1,-8.09,-0.76,-6.62,1.0
6,0.02,-0.04,1.14,1.15,-2.19,-3.36,-1.14,1.0
7,0.01,-0.04,1.16,1.16,-2.0,0.34,-1.6,1.0
8,-0.05,-0.03,1.07,1.07,-0.91,-3.83,-1.63,1.0
9,-0.12,0.04,1.09,1.1,-7.73,-4.27,-17.79,1.0
10,-0.05,0.14,1.16,1.17,-12.98,6.27,-15.61,1.0
11,-0.03,0.15,1.11,1.12,8.39,23.46,1.87,1.0
12,-0.02,0.15,1.07,1.08,25.96,17.73,-7.2,1.0
13,0.06,0.08,1.04,1.05,38.4,12.96,-13.64,1.0
14,0.06,-0.1,1.06,1.07,8.33,10.09,-2.47,1.0
15,0.03,-0.06,1.11,1.11,-1.23,21.44,30.82,1.0
16,0.11,0.02,1.0,1.01,13.41,8.58,30.36,1.0
17,-0.07,-0.12,0.99,1.0,-15.81,-3.8,14.71,1.0
18,0.05,-0.16,1.01,1.03,-43.19,-23.38,17.38,1.0
19,0.08,0.01,1.15,1.15,-45.99,2.21,25.75,1.0
20,0.02,-0.04,1.07,1.07,-29.96,12.67,4.5,1.0
21,-0.19,-0.05,1.05,1.06,-26.14,-8.65,24.93,1.0
22,-0.0,0.23,1.02,1.04,-25.12,1.62,-4.45,1.0
23,0.16,0.26,0.97,1.02,-69.75,14.82,-67.17,1.0
24,0.22,0.11,1.02,1.05,-93.95,30.04,-79.29,1.0
25,-0.03,-0.32,0.79,0.86,-159.67,43.59,-68.32,1.0
26,0.37,-0.13,0.74,0.84,-221.23,47.81,-26.65,1.0
27,0.74,0.23,0.77,1.09,-172.4,197.67,21.67,7.0
28,1.05,0.28,1.01,1.48,-73.83,248.54,37.22,7.0
29,1.11,0.24,1.51,1.89,-185.16,88.48,40.13,7.0
30,1.08,-0.09,-0.42,1.17,74.83,8.19,-43.1,7.0
31,0.83,0.12,-0.16,0.85,11.48,-3.48,1.43,7.0
32,0.88,0.12,-0.0,0.89,0.24,-0.05,-0.63,7.0
33,0.88,0.13,-0.0,0.89,-6.01,-4.43,0.41,7.0
34,0.88,0.13,0.0,0.89,-0.2,0.05,-0.55,7.0
35,0.88,0.14,0.01,0.89,1.06,0.71,-0.88,7.0
36,0.88,0.14,0.01,0.89,-13.22,-4.97,1.23,7.0
37,0.88,0.14,-0.0,0.89,-5.26,-1.83,1.59,7.0
38,0.87,0.16,0.01,0.89,2.51,1.31,-1.88,7.0
39,0.89,0.12,0.0,0.89,2.52,1.68,-1.22,7.0
40,0.89,0.12,0.0,0.89,-0.07,0.25,-0.73,7.0
41,0.89,0.12,0.0,0.89,-0.19,0.22,-0.69,7.0
42,0.89,0.12,0.0,0.89,-0.13,0.2,-0.72,7.0
43,0.89,0.12,0.0,0.89,-0.13,0.21,-0.69,7.0
44,0.89,0.12,0.0,0.89,-0.15,0.19,-0.68,5.0
45,0.89,0.12,0.0,0.89,-0.17,0.24,-0.67,5.0
46,0.89,0.12,0.0,0.89,-0.18,0.19,-0.68,5.0
47,0.88,0.12,0.0,0.89,-0.16,0.14,-0.69,5.0
48,0.89,0.12,0.0,0.89,-0.16,0.2,-0.72,5.0
49,0.89,0.12,0.0,0.89,-0.14,0.2,-0.7,5.0
50,0.89,0.12,0.0,0.89,-0.16,0.23,-0.67,5.0
51,0.89,0.12,0.0,0.89,-0.18,0.2,-0.71,5.0
52,0.88,0.12,0.0,0.89,-0.15,0.21,-0.73,5.0
53,0.89,0.12,0.0,0.89,-0.16,0.19,-0.72,5.0
54,0.89,0.12,0.0,0.89,-0.23,0.13,-0.63,5.0
55,0.88,0.13,0.0,0.89,-2.33,-1.51,-0.2,5.0
56,0.87,0.14,-0.0,0.89,-10.82,-4.01,1.21,5.0
57,0.87,0.17,0.02,0.89,4.38,1.99,-1.23,6.0
58,0.89,0.12,0.0,0.89,2.22,1.53,-1.27,6.0
59,0.89,0.13,0.0,0.89,-0.09,0.22,-0.74,6.0
60,0.89,0.12,0.0,0.89,-0.15,0.18,-0.7,6.0
61,0.89,0.12,0.0,0.89,0.01,0.1,-0.72,6.0
62,0.89,0.12,-0.01,0.9,0.38,-0.6,-0.57,6.0
63,0.98,0.1,-0.12,0.99,1.38,-8.08,12.09,6.0
64,0.79,0.2,-0.19,0.83,7.47,-47.73,4.86,6.0
65,0.75,0.08,-0.21,0.78,14.9,-67.79,1.69,6.0
66,0.65,0.13,0.14,0.68,13.8,-90.23,1.33,6.0
67,0.51,0.02,0.26,0.57,11.92,-85.04,4.42,6.0
68,0.36,0.06,0.36,0.51,12.23,-75.71,6.86,6.0
69,0.25,0.09,0.45,0.52,9.82,-64.93,1.73,6.0
70,0.17,0.0,0.59,0.61,7.61,-54.24,-0.0,6.0
