,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.0,0.03,1.02,1.02,0.25,1.74,0.58,1.0
1,0.0,0.02,1.04,1.04,-3.23,2.11,5.85,1.0
2,0.0,0.01,1.03,1.03,-4.64,5.9,10.39,1.0
3,0.01,-0.01,1.03,1.03,-4.79,5.01,12.06,1.0
4,0.0,-0.0,1.03,1.03,-5.4,2.94,12.3,1.0
5,-0.03,-0.01,1.03,1.03,-9.78,3.7,11.45,1.0
6,-0.05,0.03,1.02,1.02,-14.48,1.78,7.81,1.0
7,0.01,0.06,1.02,1.02,-15.64,1.39,4.99,1.0
8,0.03,0.06,1.02,1.02,-9.9,1.62,-6.32,1.0
9,0.04,0.04,1.02,1.02,-2.11,-0.59,-9.19,1.0
10,0.02,0.04,1.01,1.01,4.0,0.29,-11.7,1.0
11,-0.01,0.02,1.01,1.01,3.63,-1.36,-11.02,1.0
12,-0.05,0.02,1.03,1.03,1.02,-1.19,-9.85,1.0
13,-0.05,0.02,1.05,1.05,-0.72,2.92,-5.74,1.0
14,0.02,0.05,1.02,1.02,-2.06,4.54,-11.86,1.0
15,0.03,0.01,1.0,1.0,-2.88,-0.2,-10.0,1.0
16,0.01,-0.01,1.01,1.01,-0.54,-3.66,-4.78,1.0
17,-0.02,-0.03,1.02,1.02,5.42,0.62,5.36,1.0
18,-0.09,-0.02,1.02,1.02,3.78,1.54,9.84,1.0
19,-0.01,0.05,1.01,1.01,-5.19,1.64,6.59,1.0
20,0.03,0.03,1.01,1.01,-15.37,3.15,0.63,1.0
21,0.09,0.04,0.95,0.96,-19.69,-4.67,-2.1,1.0
22,0.09,0.03,0.99,0.99,-19.27,-12.72,-4.74,1.0
23,-0.05,-0.02,1.08,1.08,-13.48,1.74,-1.34,1.0
24,-0.08,0.02,1.02,1.03,-11.39,8.47,5.46,1.0
25,-0.07,0.0,1.03,1.04,7.31,5.99,1.2,1.0
26,0.05,-0.03,1.02,1.02,7.12,4.28,4.33,1.0
27,0.05,0.01,1.0,1.0,5.15,12.56,12.43,1.0
28,0.03,0.01,0.98,0.98,-7.88,4.04,7.68,1.0
29,-0.04,0.06,0.98,0.98,4.83,2.68,-4.83,1.0
30,-0.0,0.07,0.93,0.93,26.78,0.74,-22.96,1.0
31,-0.02,-0.01,0.95,0.95,7.05,6.29,-27.64,1.0
32,0.04,-0.04,0.94,0.94,-4.97,9.56,-10.28,1.0
33,0.0,-0.03,0.95,0.95,-4.43,5.82,9.06,1.0
